,food,female,fish,communication,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
grasshopper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.06424613731602234,0.08282519608252432,0.0,0.083096262094798,0.0,0.0,0.07399926500101425,0.0,0.0,0.05522411915388587,0.0739539109245971,0.0,0.06670874993257374,0.03846566465426274
chicken,0.01023600839249569,0.0,0.0,0.0,0.0,0.0,0.009883019534788654,0.0,0.0,0.00848209951919553,0.00987551414553121,0.0,0.009260163330331707,0.0036720619171032916
hen,0.004186469051743641,0.0,0.0,0.0,0.0,0.0,0.004970103626674249,0.0,0.0,0.003626805591649326,0.004967870548795513,0.0,0.004114473605460295,0.0016819786480248482
fowl,0.11501582063125354,0.0,0.0,0.0,0.0,0.0,0.12947792794826812,0.0,0.0,0.10370947856444172,0.1293847416277922,0.0,0.11656430966229757,0.04570402141800409
duck,0.005035952335907159,0.0,0.0,0.0,0.0,0.0,0.006503373141688622,0.0,0.0,0.005029672113339896,0.006502858861826553,0.008895836755414804,0.004853466813587387,0.0028323969247511095
quail,0.005642563756274477,0.0,0.0,0.0,0.0,0.0,0.00529878816622376,0.0,0.0,0.0037733282648619642,0.005300994918944265,0.0,0.0050256321618333,0.0019262544052413666
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0005452768642028526,0.0,0.0,0.0,0.0,0.0,0.000481860298735701,0.0,0.0,0.0,0.000481860298735701,0.0,0.0004963845896651419,0.00015426015779533821
cat,0.0,0.00716241628979531,0.0,0.0,0.008576749769108506,0.00721442774989116,0.007237361900399954,0.006817186293839512,0.0,0.0,0.007237361900399954,0.0,0.007310757628930426,0.003965866271720371
roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrasher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trailer,0.0,0.0,0.0,0.00033162024737673864,0.0,0.0003661735359447864,0.00021992742011740408,0.0,0.0,0.0,0.00021992742011740408,0.0,0.0,8.751143258125639e-05
pickup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.0,0.0,0.0011805451109627462,0.0015773994325909322,0.0014473515269037827,0.0,0.0,0.0,0.0014439992060624096,0.0,0.0,0.0004345611751169132
racer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeppelin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jet,0.0,0.0,0.0,0.0,0.0,0.0002501829293027104,0.00023119075450912503,0.0,0.00023134879448306135,0.0,0.00023036980562786167,0.0,0.0,7.254556030175065e-05
airplane,0.0,0.0,0.0,0.0,0.0,0.0024840484966061754,0.002283943424795071,0.0,0.0,0.0,0.0022772722097706634,0.0,0.0,0.0005419433947055315
airliner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dozer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subcompact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sedan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amphibian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caravan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scooter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.0,0.0007204539658311472,0.0005706082654820325,0.0,0.0,0.0,0.0005706082654820325,0.0,0.0,0.00014320542283040094
bandwagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
