,food,communication,cutlery,no-cat,vehicle,all,relation,tool,object,measure,animal,weapon,mean
table,0.0031202738316356824,0.0,0.0,0.0,0.0,0.0029345707844517237,0.0,0.0,0.0029345707844517237,0.0,0.0,0.0,0.0007491179500449275
board,0.0017941558019717366,0.0,0.0,0.0,0.0,0.0015660941418801802,0.0,0.0,0.0015660941418801802,0.0,0.0,0.0,0.0004105286738110081
bass,0.0019820695067366578,0.0018772708300814635,0.0,0.0018050193349090488,0.0,0.0016960733385055391,0.0,0.0,0.0016960733385055391,0.0,0.0019312779583620023,0.0,0.0009156486922583543
stick,0.0025236344662050683,0.0,0.0,0.0,0.0,0.002388778873253417,0.0027136690434467893,0.0,0.002388778873253417,0.0,0.0,0.0,0.0008345717713465576
blade,0.0004713478399338108,0.0,0.0,0.0,0.0,0.00046127825265650913,0.0,0.0,0.00046127825265650913,0.0,0.0,0.00037473528598342825,0.00014738663593585479
date,0.0013637830218086733,0.0,0.0,0.0010896912329785063,0.0,0.0012455831213378878,0.0,0.0,0.0012455831213378878,0.001350375075646826,0.0,0.0,0.0005245846310924818
rock,0.005694191477994476,0.004554078781365543,0.0,0.0,0.0,0.005044785692708186,0.005160332063782183,0.0,0.005044785692708186,0.0,0.0,0.0,0.0021248478090465477
peg,0.0,0.000946058969859279,0.0,0.0,0.0,0.0008102106274567531,0.0,0.0,0.0008102106274567531,0.0,0.0,0.0,0.00021387335206439877
shaft,0.0,0.0029030531890859817,0.0,0.0,0.0,0.002697020815909686,0.0,0.0,0.002697020815909686,0.0,0.0,0.0025263357186406277,0.0009019525449621649
arrow,0.0,0.0022336398091551764,0.0,0.0,0.0,0.001952813759057192,0.0,0.0,0.001952813759057192,0.0,0.0,0.0021552355314295663,0.0006912085715582607
bow,0.0,0.0038973393768810746,0.0,0.0,0.0,0.0035025341579491935,0.0,0.0,0.0035025341579491935,0.0,0.0,0.003730309778393924,0.001219393122597782
beam,0.0,0.0013829442808650286,0.0,0.0,0.0,0.0011779401678991572,0.0,0.0,0.0011779401678991572,0.0,0.0,0.0,0.00031156871805527856
pin,0.0,0.009987585729823487,0.0,0.0,0.0,0.008558760526781985,0.0,0.0,0.008558760526781985,0.0,0.0,0.0,0.002258758898615621
wire,0.0,0.0019754994683793413,0.0,0.0,0.0,0.0021290874425494988,0.0,0.0,0.0021290874425494988,0.0,0.0,0.0,0.0005194728627898616
pedal,0.0,0.001212351696563203,0.0,0.0,0.0,0.0012643028199223266,0.0,0.0,0.0012643028199223266,0.0,0.0,0.0,0.00031174644470065467
deal,0.0,0.0017277078347492647,0.0,0.0,0.0,0.001950085995242262,0.0019391043926380446,0.0,0.001950085995242262,0.0019942309379449245,0.0,0.0,0.0007967679296513964
saw,0.0,0.00636312683927982,0.0,0.0,0.0,0.007139145641966672,0.0,0.011326664774525472,0.007139145641966672,0.0,0.0,0.0,0.002664006908144886
axe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,0.0,0.0,0.0009275788354964718,0.0,0.0,0.0005876666759045312,0.0,0.0,0.0005876666759045312,0.0,0.0,0.0005569941331089932,0.00022165886003454395
bamboo,0.0,0.0,0.0,0.0022787406325020707,0.0,0.0021008231687781698,0.002500142109359458,0.0,0.0021008231687781698,0.0,0.0,0.0,0.0007483774232848224
broom,0.0,0.0,0.0,0.0024470627684216456,0.0,0.0021767363660261624,0.0,0.0,0.0021767363660261624,0.0,0.0,0.0,0.0005667112917061642
pine,0.0,0.0,0.0,0.0022499324780219545,0.0,0.002031829256441882,0.0026070204502514887,0.0,0.002031829256441882,0.0,0.0,0.0,0.0007433842867631005
drum,0.0,0.0,0.0,0.002923024944341535,0.0,0.002805693983129619,0.0,0.0,0.002805693983129619,0.0,0.0028993895285603674,0.0,0.0009528168699300951
oak,0.0,0.0,0.0,0.0034547541201259747,0.0,0.0032373597533007403,0.004014507340516629,0.0,0.0032373597533007403,0.0,0.0,0.0,0.001161998413937007
fir,0.0,0.0,0.0,0.0013673221802054112,0.0,0.0012198350064502317,0.0015948024072359984,0.0,0.0012198350064502317,0.0,0.0,0.0,0.00045014955002848945
rail,0.0,0.0,0.0,0.0004819216399625104,0.0,0.0005864790327894219,0.0,0.0,0.0005864790327894219,0.0,0.0006345508795590825,0.0,0.00019078588209170305
gun,0.0,0.0,0.0,0.0021718846971910954,0.0,0.0026054511251615304,0.0,0.0,0.0026054511251615304,0.0,0.0,0.0024123343081070034,0.0008162601046350967
pen,0.0,0.0,0.0,0.0003637229802764145,0.0,0.00048673137960637244,0.0,0.0,0.00048673137960637244,0.0,0.0005808076481901586,0.0,0.00015983278230660984
houseboat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kayak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0,0.0,0.0022182912747866434,0.001645375564925637,0.0,0.0,0.001645375564925637,0.0,0.0,0.0,0.0004590868670531598
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.002635269414295663,0.0017623378638000732,0.0,0.0,0.0017623378638000732,0.0,0.0,0.0,0.0005133287618246507
spear,0.0,0.0,0.0,0.0,0.0,0.0025573142126869173,0.0,0.0,0.0025573142126869173,0.0,0.0,0.002533131474582228,0.0006373133249963386
cello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plank,0.0,0.0,0.0,0.0,0.0,0.00122912978959539,0.0,0.0,0.00122912978959539,0.0,0.0,0.0,0.000204854964932565
outrigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harp,0.0,0.0,0.0,0.0,0.0,0.0013443171440458692,0.0,0.0,0.0013443171440458692,0.0,0.0,0.0,0.00022405285734097822
guitar,0.0,0.0,0.0,0.0,0.0,0.0012568100494734983,0.0,0.0,0.0012568100494734983,0.0,0.0,0.0,0.0002094683415789164
chock,0.0,0.0,0.0,0.0,0.0,0.0029159479935042497,0.0,0.0,0.0029159479935042497,0.0,0.0,0.0,0.0004859913322507083
soffit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timber,0.0,0.0,0.0,0.0,0.0,0.0020927675451356416,0.0,0.0,0.0020927675451356416,0.0,0.0,0.0,0.0003487945908559403
pencil,0.0,0.0,0.0,0.0,0.0,0.010237791181698607,0.012574781324850426,0.0,0.010237791181698607,0.0,0.0,0.0,0.0027541969740206367
clapboard,0.0,0.0,0.0,0.0,0.0,0.11671480275283194,0.0,0.0,0.11671480275283194,0.0,0.0,0.0,0.01945246712547199
