relation,prop-specific,n_pairs
pos,0.012181564582944494,1598
neg,0.0029373601275221187,1077
all,0.01717866415030113,886
some,0.008764616443576468,712
few,0.0029373601275221187,1077
evidence,0.01445142440929656,956
no_evidence_pos,0.007673223989901064,312
no_evidence_neg,0.0026887429510529626,982
implied_category,0.0022331396599127727,14
typical_of_concept,0.031142443913161125,3
affording_activity,0.010251837720869662,4
afforded_usual,0.07208410642999782,2
afforded_unusual,0.0016785985091851293,19
variability_limited,0.008709011067289659,104
variability_open,0.005752918667127273,76
variability_open_scalar,0.009714438345114963,95
rare,0.004522861424023345,18
unusual,0.0026184099051094157,75
impossible,0.0018310836778748253,265
creative,0.00377297114347798,21
