relation,non-specific,n_pairs
pos,0.0058885800585395266,1598
neg,0.0016099658543002936,1077
all,0.006788844641370585,886
some,0.0051124200084682325,712
few,0.0016099658543002936,1077
evidence,0.006368851929822938,956
no_evidence_pos,0.005138551388498306,312
no_evidence_neg,0.0015666469795515546,982
implied_category,0.0034844153336170153,14
typical_of_concept,0.017222521629637083,3
affording_activity,0.005113693541828062,4
afforded_usual,0.009046414657254672,2
afforded_unusual,0.002150566167652506,19
variability_limited,0.005112844917054908,104
variability_open,0.0032961763197968254,76
variability_open_scalar,0.0057294914484588046,95
rare,0.003400703720005671,18
unusual,0.0016257116342777134,75
impossible,0.0011718567397019713,265
creative,0.002166785148706911,21
