relation,prop-specific,n_pairs
pos,0.005590543437120226,1598
neg,0.0012940148191538303,1077
all,0.006778048558205713,886
some,0.004728592651121529,712
few,0.0012940148191538303,1077
evidence,0.0063434599289025504,956
no_evidence_pos,0.0039252109911968435,312
no_evidence_neg,0.0012091585401549287,982
implied_category,0.0013451976440982398,14
typical_of_concept,0.019001560135995216,3
affording_activity,0.007065558894307227,4
afforded_usual,0.055178859748440494,2
afforded_unusual,0.0012971637856774884,19
variability_limited,0.004799681367651679,104
variability_open,0.004105512146451457,76
variability_open_scalar,0.0034437068987780445,95
rare,0.003754909732899757,18
unusual,0.00115625337140261,75
impossible,0.0007755910355448318,265
creative,0.0022404901221114307,21
