relation,non-specific,n_pairs
pos,0.0876840843851306,1598
neg,0.050510204081632655,1077
all,0.11207787429769897,886
some,0.06966050493666756,712
few,0.050510204081632655,1077
evidence,0.09230336777954194,956
no_evidence_pos,0.06562729969530362,312
no_evidence_neg,0.05,982
implied_category,0.05349939215831149,14
typical_of_concept,0.08196232237838955,3
affording_activity,0.13576543944310776,4
afforded_usual,0.15403044302298033,2
afforded_unusual,0.037436401480111015,19
variability_limited,0.0733629436793052,104
variability_open,0.06169284166736179,76
variability_open_scalar,0.06393602683486711,95
rare,0.044487717409600704,18
unusual,0.044923339146353984,75
impossible,0.050402611257874416,265
creative,0.053881932021466905,21
