relation,prop-specific,n_pairs
pos,0.7927112216958616,1598
neg,0.7668369360500908,1077
all,0.8103138024124118,886
some,0.7740724619732047,712
few,0.7668369360500908,1077
evidence,0.7927112216958616,1516
no_evidence_pos,0.7504184391089996,229
no_evidence_neg,0.7673730805942697,930
implied_category,0.7864287794333925,14
typical_of_concept,0.8103138024124118,3
affording_activity,0.7927112216958616,4
afforded_usual,0.8431537602821024,2
afforded_unusual,0.6726391897053422,19
variability_limited,0.7927112216958616,104
variability_open,0.7504184391089996,76
variability_open_scalar,0.7464889568298577,95
rare,0.790175969953277,18
unusual,0.7298487876155908,75
impossible,0.7700500590752006,265
creative,0.7502390524034805,21
