relation,prop-specific,n_pairs
pos,0.3554727826356179,1598
neg,0.24519073784661788,1077
all,0.3714213833390248,886
some,0.3272346009810765,712
few,0.24519073784661788,1077
evidence,0.35879963139692944,1516
no_evidence_pos,0.2351285402463483,229
no_evidence_neg,0.24036014187667107,930
implied_category,0.29348033421805925,14
typical_of_concept,0.4481325770417849,3
affording_activity,0.3856096069018046,4
afforded_usual,0.8302193880081177,2
afforded_unusual,0.2371786341514616,19
variability_limited,0.44136591255664825,104
variability_open,0.15264563262462616,76
variability_open_scalar,0.2902880311012268,95
rare,0.6956017017364502,18
unusual,0.46648335363715887,75
impossible,0.19912951843192175,265
creative,0.1594480127096176,21
