relation,prop-specific,n_pairs
pos,0.7589761518044652,1598
neg,0.7190546786831092,1077
all,0.7772160720331763,886
some,0.7465554044494565,712
few,0.7190546786831092,1077
evidence,0.7668369360500908,1516
no_evidence_pos,0.7047430491851518,229
no_evidence_neg,0.7322785427577423,930
implied_category,0.7761891136469891,14
typical_of_concept,0.7918766507611879,3
affording_activity,0.7922939362285247,4
afforded_usual,0.8302730629958021,2
afforded_unusual,0.6726391897053422,19
variability_limited,0.7918766507611879,104
variability_open,0.7109309916319406,76
variability_open_scalar,0.6641341411457097,95
rare,0.790175969953277,18
unusual,0.69957751196759,75
impossible,0.7668369360500908,265
creative,0.7502390524034805,21
