context,n_pos,total_pos,n_neg,total_neg
duck,12,16,0,16
bird,12,16,0,16
nest,11,16,0,16
habitat,11,16,0,16
thursday,11,16,0,16
including,11,16,0,16
along,11,16,0,16
third,11,16,0,16
week,11,16,0,16
population,10,16,0,16
set,10,16,0,16
500,10,16,1,16
house,10,16,0,16
fall,10,16,0,16
populations,10,16,0,16
viewers,10,16,0,16
american,10,16,0,16
goose,10,16,0,16
picture,10,16,0,16
begins,10,16,0,16
first,10,16,1,16
would,10,16,0,16
because,10,16,0,16
14,10,16,0,16
black,9,16,0,16
species,9,16,0,16
rare,9,16,0,16
under,9,16,0,16
legs,9,16,0,16
cafe,9,16,0,16
fox,9,16,0,16
days,9,16,0,16
turtle,9,16,0,16
tall,9,16,0,16
wednesday,9,16,0,16
wild,9,16,1,16
dead,9,16,0,16
red,9,16,0,16
south,9,16,0,16
dubbed,9,16,0,16
tree,9,16,0,16
spectacular,9,16,0,16
tiny,9,16,0,16
cat,9,16,0,16
charge,9,16,0,16
met,9,16,0,16
following,9,16,0,16
heart,9,16,0,16
lake,9,16,0,16
refused,9,16,0,16
actual,9,16,0,16
arrive,9,16,0,16
washington,9,16,0,16
eggs,9,16,0,16
brown,9,16,0,16
anything,9,16,1,16
flew,9,16,1,16
went,9,16,1,16
course,9,16,0,16
face,9,16,1,16
wings,9,16,0,16
name,9,16,1,16
native,9,16,0,16
round,9,16,0,16
herb,9,16,0,16
neck,9,16,0,16
line,9,16,0,16
600,9,16,0,16
ahead,9,16,0,16
drove,9,16,0,16
65,9,16,1,16
bar,9,16,0,16
250,9,16,0,16
test,9,16,1,16
southern,9,16,0,16
determined,9,16,0,16
bank,9,16,0,16
includes,9,16,1,16
eat,9,16,0,16
atlantic,9,16,0,16
featured,9,16,0,16
endangered,8,16,0,16
white,8,16,0,16
statement,8,16,0,16
chicks,8,16,0,16
july,8,16,0,16
government,8,16,0,16
co,8,16,1,16
over,8,16,2,16
from,8,16,1,16
will,8,16,2,16
chief,8,16,1,16
spokesman,8,16,0,16
columbia,8,16,0,16
players,8,16,0,16
partner,8,16,0,16
spring,8,16,1,16
see,8,16,2,16
wildlife,8,16,0,16
produced,8,16,1,16
perfect,8,16,0,16
which,8,16,1,16
continues,8,16,0,16
closing,8,16,0,16
northern,8,16,0,16
proved,8,16,0,16
pulled,8,16,0,16
paying,8,16,0,16
directly,8,16,0,16
september,8,16,0,16
yellow,8,16,0,16
1964,8,16,0,16
arrived,8,16,0,16
appropriate,8,16,0,16
150,8,16,0,16
vocal,8,16,0,16
numbers,8,16,1,16
indian,8,16,1,16
say,8,16,1,16
million,8,16,1,16
tale,8,16,0,16
such,8,16,1,16
run,8,16,1,16
12,8,16,1,16
within,8,16,0,16
large,8,16,0,16
death,8,16,1,16
lone,8,16,1,16
passed,8,16,0,16
cast,8,16,1,16
released,8,16,1,16
here,8,16,1,16
four,8,16,1,16
next,8,16,1,16
inside,8,16,0,16
told,8,16,1,16
last,8,16,1,16
left,8,16,2,16
trail,8,16,0,16
the,8,16,1,16
english,8,16,0,16
border,8,16,0,16
blame,8,16,0,16
meal,8,16,0,16
breaks,8,16,0,16
films,8,16,0,16
finished,8,16,0,16
ship,8,16,0,16
bright,8,16,0,16
river,8,16,0,16
senior,8,16,0,16
sent,8,16,0,16
10,8,16,1,16
eight,8,16,0,16
nine,8,16,0,16
three,8,16,1,16
wilson,8,16,0,16
word,8,16,1,16
seeing,8,16,0,16
mountain,8,16,1,16
pound,8,16,0,16
season,8,16,1,16
expected,8,16,0,16
tested,8,16,0,16
george,8,16,1,16
southeast,8,16,0,16
cross,8,16,0,16
production,8,16,0,16
beautiful,8,16,0,16
pool,8,16,0,16
moment,8,16,0,16
chef,8,16,0,16
summer,8,16,0,16
29,8,16,1,16
trademark,8,16,0,16
fellow,8,16,0,16
gathering,8,16,0,16
humans,8,16,0,16
however,8,16,0,16
deal,8,16,0,16
degree,8,16,0,16
christmas,8,16,0,16
recorded,8,16,0,16
neither,8,16,0,16
wet,8,16,0,16
offers,8,16,0,16
louisiana,8,16,1,16
dinner,8,16,0,16
wood,7,16,0,16
human,7,16,0,16
lesser,7,16,0,16
300,7,16,1,16
accompanied,7,16,0,16
86,7,16,0,16
net,7,16,0,16
crowned,7,16,0,16
hotel,7,16,0,16
apart,7,16,0,16
produces,7,16,0,16
presented,7,16,0,16
original,7,16,0,16
22,7,16,1,16
at,7,16,1,16
when,7,16,1,16
listed,7,16,0,16
egg,7,16,0,16
program,7,16,1,16
spot,7,16,1,16
bought,7,16,1,16
50,7,16,1,16
night,7,16,2,16
where,7,16,2,16
golden,7,16,0,16
specialist,7,16,1,16
sounded,7,16,1,16
beak,7,16,0,16
considering,7,16,0,16
begun,7,16,0,16
confirmed,7,16,0,16
carry,7,16,0,16
suggests,7,16,1,16
boys,7,16,1,16
suffered,7,16,0,16
lets,7,16,1,16
mike,7,16,1,16
bring,7,16,0,16
storm,7,16,0,16
firm,7,16,0,16
recalled,7,16,1,16
expecting,7,16,0,16
explosion,7,16,0,16
radar,7,16,0,16
feature,7,16,0,16
featuring,7,16,0,16
highway,7,16,0,16
further,7,16,1,16
imperial,7,16,0,16
deliver,7,16,0,16
diamond,7,16,0,16
key,7,16,0,16
sides,7,16,1,16
crossed,7,16,0,16
shake,7,16,0,16
semi,7,16,0,16
renowned,7,16,0,16
bay,7,16,0,16
adjacent,7,16,0,16
54,7,16,0,16
70,7,16,1,16
78,7,16,0,16
43,7,16,1,16
inn,7,16,0,16
close,7,16,1,16
wise,7,16,0,16
united,7,16,0,16
british,7,16,1,16
during,7,16,1,16
without,7,16,1,16
critics,7,16,1,16
intended,7,16,1,16
china,7,16,1,16
prompted,7,16,1,16
cotton,7,16,1,16
having,7,16,1,16
west,7,16,1,16
big,7,16,1,16
asking,7,16,0,16
cartoon,7,16,1,16
plays,7,16,1,16
coming,7,16,1,16
through,7,16,1,16
title,7,16,1,16
showed,7,16,2,16
company,7,16,1,16
us,7,16,2,16
capital,7,16,1,16
came,7,16,1,16
19,7,16,1,16
both,7,16,2,16
least,7,16,1,16
too,7,16,1,16
back,7,16,2,16
stuffed,7,16,0,16
called,7,16,1,16
twist,7,16,0,16
kill,7,16,0,16
boston,7,16,0,16
forest,7,16,0,16
flames,7,16,0,16
holding,7,16,0,16
role,7,16,0,16
34,7,16,0,16
23,7,16,0,16
follows,7,16,0,16
harvey,7,16,0,16
feet,7,16,0,16
ton,7,16,0,16
lifted,7,16,0,16
000,7,16,1,16
port,7,16,0,16
friday,7,16,0,16
hanging,7,16,0,16
boat,7,16,0,16
two,7,16,2,16
blue,7,16,0,16
character,7,16,1,16
republican,7,16,0,16
standing,7,16,0,16
scene,7,16,0,16
sea,7,16,0,16
near,7,16,0,16
spotted,7,16,0,16
completed,7,16,0,16
female,7,16,0,16
moving,7,16,1,16
all,7,16,1,16
saturday,7,16,2,16
120,7,16,0,16
alongside,7,16,1,16
november,7,16,0,16
president,7,16,1,16
yards,7,16,0,16
threw,7,16,1,16
themselves,7,16,0,16
month,7,16,0,16
split,7,16,0,16
colleagues,7,16,0,16
extend,7,16,0,16
tear,7,16,1,16
badly,7,16,0,16
best,7,16,1,16
clear,7,16,1,16
before,7,16,2,16
burned,7,16,0,16
term,7,16,0,16
tonight,7,16,0,16
planned,7,16,0,16
wanted,7,16,1,16
dump,7,16,0,16
nation,7,16,1,16
90,7,16,0,16
27,7,16,1,16
included,7,16,1,16
16,7,16,1,16
missing,7,16,1,16
agency,7,16,0,16
supreme,7,16,0,16
final,7,16,0,16
jersey,7,16,0,16
backed,7,16,0,16
unit,7,16,0,16
pen,7,16,1,16
26,7,16,1,16
mark,7,16,1,16
39,7,16,0,16
44,7,16,0,16
opening,7,16,0,16
ugly,7,16,0,16
across,7,16,1,16
despite,7,16,0,16
open,7,16,2,16
agreed,7,16,0,16
wonder,7,16,1,16
african,7,16,1,16
miss,7,16,1,16
size,7,16,1,16
entered,7,16,0,16
improved,7,16,0,16
