,relation,object,cold,food,all,measure,communication,mean,median
lemonade,0.016455893819405206,0.0,0.0,0.02677800432406889,0.015152454396034284,0.0,0.0,0.008340907505644054,0.004170453752822027
rain,0.04255104367127767,0.0,0.0,0.0,0.03998920262226213,0.0,0.0,0.011791463756219972,0.0
soup,0.022182173859426654,0.0,0.0,0.03417448499504048,0.020483418804444698,0.0,0.0,0.01097715395127312,0.00548857697563656
juice,0.0032344656700620564,0.0,0.0,0.004043354588309989,0.0031304386349231155,0.0,0.0,0.0014868941276135943,0.0007434470638067971
tea,0.008757396444232091,0.008751746752451139,0.0,0.01304690644200552,0.008301703741771107,0.0,0.0,0.005551107625779979,0.006926405683775543
vapor,0.02467275869021788,0.0,0.0,0.0,0.02173424915496615,0.0,0.0,0.006629572549312005,0.0
foam,0.0033189125326069015,0.0,0.0,0.0,0.0028931500398955883,0.0,0.0,0.0008874375103574986,0.0
skin,0.007956300564097471,0.008121840926776131,0.0,0.0,0.007679060741630693,0.0,0.0,0.003393886033214899,0.0016969430166074496
water,0.07553577196391212,0.0729071505072451,0.0,0.09585384363488288,0.07027328618089412,0.0,0.0,0.044938578898133456,0.05760593253951379
soda,0.007659706007898377,0.0,0.0,0.009840615743211179,0.007515422664936398,0.0,0.0,0.0035736777737208508,0.0017868388868604254
drink,0.028209667308792975,0.0,0.0,0.032319207405348986,0.025885129506742367,0.02706764555977211,0.0,0.01621166425437949,0.021048396880560927
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0014195981115875068,0.0014686081053267,0.0,0.0018022972275466961,0.001428146712048554,0.0,0.0017085928891856729,0.001118177577956447,0.0014238724118180303
beer,0.06283806743744626,0.0,0.0,0.08341832982221419,0.05701184695243639,0.0,0.0,0.029038320601728118,0.014519160300864059
mud,0.010305770957372763,0.0,0.0,0.0,0.009228841008271038,0.0,0.011254978328189233,0.004398512899119004,0.002199256449559502
milk,0.008054559878705264,0.0,0.0,0.011254523465807412,0.007447068539736452,0.0,0.0,0.0038223074120355897,0.0019111537060177949
coffee,0.012990623908160618,0.012713108800429274,0.0,0.017142041019949667,0.01167189369373464,0.0,0.0,0.007788238203182029,0.009730065948458334
sawdust,0.007702945093114521,0.0,0.0,0.0,0.007108660683548084,0.0,0.0,0.002115943682380372,0.0
smoke,0.001777878762610256,0.0,0.0,0.0,0.0016563892066030982,0.0,0.002295536156975861,0.0008185434465984593,0.00040927172329922965
