,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
lettuce,0.1948927346555625,0.0,0.1764007363683126,0.0,0.1565558169489696,0.0,0.0,0.19737445890931782,0.0,0.1583425862311048,0.0,0.1691707641647427,0.0,0.0,0.0,0.07018247315186733
herb,0.013736476779714148,0.0,0.012223708721745514,0.0,0.014129819351783817,0.0,0.0,0.0,0.0,0.013530617138511352,0.0,0.0,0.0,0.0,0.0,0.0035747081327836554
guava,0.007513497122405853,0.0,0.006934194771959918,0.0,0.006198743514659875,0.0,0.0,0.0,0.0,0.006059321273654816,0.0071929081526777095,0.0,0.0,0.0,0.0,0.0022599109890238784
spinach,0.16500120589546005,0.0,0.14961100769871652,0.0,0.13838205297090514,0.0,0.0,0.16108987475952835,0.0,0.13520755355108327,0.0,0.0,0.0,0.0,0.0,0.049952779658379555
cabbage,0.08618511062068092,0.0,0.08150124583190149,0.0,0.07667581550608141,0.0,0.0,0.0821168955085823,0.0,0.0740592167259274,0.0,0.07693116154563133,0.0,0.0,0.0,0.03183129638258699
strawberry,0.0007333826967647135,0.0,0.0005764479692477182,0.0,0.0008164639567947444,0.0,0.0,0.0,0.0,0.0007118151168679413,0.0007445501036627027,0.0,0.0,0.0,0.0,0.00023884398955585466
cucumber,0.02244007924968386,0.0,0.020599261290248912,0.0,0.018292787812712034,0.0,0.0,0.02192353145093159,0.0,0.01735248312172185,0.0,0.0,0.0,0.0,0.0,0.006707209528353216
banana,0.10992254889410752,0.0,0.10154946060255855,0.0,0.1100904440427919,0.0,0.0,0.0,0.0,0.10593610015549904,0.11067773805868822,0.0,0.0,0.0,0.0,0.03587841945024302
oregano,0.0815308682963888,0.0,0.07713760068143505,0.0,0.06163649225697521,0.0,0.0,0.0,0.0,0.060296133472903295,0.0,0.0,0.0,0.0,0.0,0.018706739647180157
berry,0.0011212914212331915,0.0,0.0,0.0,0.0013115914769160153,0.0,0.0,0.0,0.0,0.0013192902591389393,0.0013258611156784753,0.0,0.0,0.0,0.0,0.0003385356181977748
broccoli,0.00931363887761298,0.0,0.009426866385005244,0.0,0.007556001971960603,0.0,0.0,0.009601164080803717,0.0,0.007692887365019213,0.0,0.0,0.0,0.0,0.0,0.002906037245360117
radish,0.003900198294542098,0.0,0.003977161823671363,0.0,0.003058197561797957,0.0,0.0,0.0045127944918336785,0.0,0.0031367993830919527,0.0,0.0,0.0,0.0,0.0,0.00123901010366247
rhubarb,0.03425332009949459,0.0,0.032157948851671087,0.0,0.029339873054411575,0.0,0.0,0.03130944106627617,0.0,0.027372709167784934,0.0,0.0,0.0,0.0,0.0,0.01029555281597589
cilantro,0.17668941788885706,0.0,0.16017691912183185,0.0,0.137754571595696,0.0,0.0,0.0,0.0,0.13435161108963825,0.0,0.0,0.0,0.0,0.0,0.04059816797973488
blackberry,0.0024340783064156885,0.0,0.0021289212148997514,0.0,0.0026756440418861794,0.0,0.0,0.0,0.0,0.0023888075006028337,0.0024761448437871886,0.0,0.0,0.0,0.0,0.0008069063938394429
olive,0.01087287177996675,0.0,0.00981060624694144,0.0,0.009770840749318698,0.0,0.010169762877926565,0.0,0.0,0.009348536081072221,0.010514374553239773,0.0,0.0,0.0,0.0,0.004032466152564363
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0015573425952592707,0.0,0.001347206681002894,0.0,0.0015841685696869278,0.0,0.0,0.0,0.0,0.0014883464937702623,0.0015765848115357854,0.0,0.0,0.0,0.0,0.000503576610083676
grass,0.021754116696315395,0.0,0.022378692908449866,0.0,0.021876064329164186,0.0,0.0,0.0,0.0,0.021593359617022516,0.0,0.0,0.0,0.0,0.0,0.0058401489033967965
pepper,0.005456102444375886,0.0,0.004759230106816588,0.0,0.004748234198270585,0.0,0.0,0.004871542546640205,0.0,0.004565674899753732,0.0,0.0,0.0,0.0,0.0,0.0016267189463904663
watermelon,0.002462343708538213,0.0,0.0023101126045341246,0.0,0.002056940538547132,0.0,0.0,0.0,0.0,0.0019869454797196255,0.0023678295452298917,0.0,0.0,0.0,0.0,0.0007456114584379324
