relation,p,n_pairs
pos,0.007689870827978955,1766
neg,0.0016207581503604027,1186
all,0.008820138239022366,1021
some,0.006889049947326887,745
few,0.0016207581503604027,1186
evidence,0.00811139796227147,1054
no_evidence_pos,0.006969669263392602,342
no_evidence_neg,0.001568422458478528,1082
implied_category,0.0024353026224696954,16
typical_of_concept,0.005079451464508835,4
affording_activity,0.00968520364025912,4
afforded_usual,0.0,3
afforded_unusual,0.0014904476286528362,20
variability_limited,0.0093366011341664,111
variability_open,0.008024327811573213,77
variability_limited_scalar,0.0,1
variability_open_scalar,0.0018773933044898207,95
rare,0.004843811276067783,19
unusual,0.0007612920251924464,81
impossible,0.0006097214147120795,307
creative,0.001107290773358513,23
