relation,prop-specific,n_pairs
pos,0.011398973956726923,1766
neg,0.0029541174620483232,1186
all,0.013454415541292765,1021
some,0.009075902752783586,745
few,0.0029541174620483232,1186
evidence,0.012495324846856304,1054
no_evidence_pos,0.010594096234392898,342
no_evidence_neg,0.002695197539779901,1082
implied_category,0.004343804231575774,16
typical_of_concept,0.005079451464508835,4
affording_activity,0.00968520364025912,4
afforded_usual,0.0,3
afforded_unusual,0.0018372062111277733,20
variability_limited,0.009572887116005376,111
variability_open,0.010479006602991477,77
variability_limited_scalar,0.08208455746228248,1
variability_open_scalar,0.005317787422042932,95
rare,0.004843811276067783,19
unusual,0.002186300116112427,81
impossible,0.0013490126646417513,307
creative,0.001603211071112577,23
