relation,prop-specific,n_pairs
pos,0.004336164906692969,1766
neg,0.0,1186
all,0.00841543513957307,1021
some,0.002891063258435612,745
few,0.0,1186
evidence,0.005470562992145808,1054
no_evidence_pos,0.0018180940158844874,342
no_evidence_neg,0.0,1082
implied_category,0.0022104155208008862,16
typical_of_concept,0.03525145410696552,4
affording_activity,0.04533321060382916,4
afforded_usual,0.0,3
afforded_unusual,0.001016788209443325,20
variability_limited,0.0030915519877675844,111
variability_open,0.0009302454376869686,77
variability_limited_scalar,0.04836245244640026,1
variability_open_scalar,0.003344229318581845,95
rare,0.0,19
unusual,0.0,81
impossible,0.0,307
creative,0.0,23
