,rel,strength,label,pairs,rel_names
0,1.3,0.0013673580071970472,function-action,"('swim', 'seal')",implied_category
1,1.3,0.006525867568675338,function-action,"('roll', 'hubcap')",implied_category
2,0.85,0.0,part,"('wings', 'pochard')",implied_category
3,0.8,0.027909164993460252,taste,"('juicy', 'fruit')",implied_category
4,1.35,0.0,temperature,"('warm', 'vest')",implied_category
5,1.35,0.0,temperature,"('warm', 'pyjama')",implied_category
6,0.85,0.0006678533408091563,part,"('wheels', 'stagecoach')",implied_category
7,1.3,0.0016291751592024005,function-action,"('used_in_cooking', 'shrimp')",implied_category
8,0.8,0.0,taste,"('sweet', 'litchi')",implied_category
9,0.85,0.0005147245695347829,part,"('wings', 'rooster')",implied_category
10,0.8,0.0,taste,"('juicy', 'cantaloupe')",implied_category
11,0.85,0.005249331874205761,part,"('wheels', 'cab')",implied_category
12,0.95,0.0,shape,"('round', 'hubcap')",implied_category
13,1.0,0.0,color,"('green', 'oregano')",implied_category
14,1.3,0.0,function-action,"('roll', 'wheelbarrow')",implied_category
15,1.35,0.008111203292112202,temperature,"('hot', 'campfire')",implied_category
16,1.3,0.0013718540869320892,function-action,"('swim', 'sturgeon')",implied_category
17,0.8,0.006922245659189217,taste,"('juicy', 'mulberry')",implied_category
18,0.85,0.005155061302564852,part,"('wheels', 'tank')",implied_category
19,1.4,0.0,taxonomic,"('lay_eggs', 'linnet')",implied_category
20,0.85,0.0029991398156173593,part,"('wheels', 'caravan')",implied_category
21,1.35,0.0026329493086239197,temperature,"('hot', 'percolator')",implied_category
22,1.3,0.003850933236395104,function-action,"('roll', 'sprocket')",implied_category
23,1.3,0.0008512403008352613,function-action,"('roll', 'bottle')",implied_category
24,1.45,0.00027481503069240237,encyclopedic,"('dangerous', 'morphine')",implied_category
25,0.95,0.0002529180949577961,shape,"('round', 'bracelet')",implied_category
26,0.85,0.009089017477357658,part,"('wheels', 'flatcar')",implied_category
27,0.85,0.008764857078120537,part,"('wheels', 'motorbike')",implied_category
28,0.85,0.015167203298601727,part,"('wheels', 'jeep')",implied_category
29,0.85,0.007893572800482944,part,"('wheels', 'taxicab')",implied_category
30,0.95,0.00019295941431172263,shape,"('round', 'beet')",implied_category
31,0.85,0.001276975328723581,part,"('wheels', 'airplane')",implied_category
32,1.35,0.0,temperature,"('hot', 'enchiladas')",implied_category
33,1.4,0.0,taxonomic,"('lay_eggs', 'laridae')",implied_category
34,1.3,0.0,function-action,"('swim', 'barbet')",implied_category
35,1.3,0.0,function-action,"('swim', 'stickleback')",implied_category
36,1.4,0.0,taxonomic,"('lay_eggs', 'typhlopidae')",implied_category
37,0.95,0.0011672714523836298,shape,"('round', 'blueberry')",implied_category
