relation,prop-specific,n_pairs
pos,0.7501045155798004,1766
neg,0.7187040544399079,1186
all,0.7581966736408172,1021
some,0.7182874489771532,745
few,0.7187040544399079,1186
evidence,0.7498192731393504,1686
no_evidence_pos,0.6982406777500845,242
no_evidence_neg,0.7266998833348985,1024
implied_category,0.6877506992911688,16
typical_of_concept,0.8203287598646017,4
affording_activity,0.8260066874385035,4
afforded_usual,,3
afforded_unusual,0.6686532072295901,20
variability_limited,0.7622234668523276,111
variability_open,0.8300705432366731,77
variability_limited_scalar,0.7187040544399079,1
variability_open_scalar,0.5235918509118067,95
rare,0.7622234668523276,19
unusual,0.7114958236811563,81
impossible,0.7499925536585328,307
creative,0.6587448494151213,23
