relation,l,n_pairs
pos,0.0031264759728530725,1766
neg,0.0007316101374300729,1186
all,0.003743725934596144,1021
some,0.002216989903215625,745
few,0.0007316101374300729,1186
evidence,0.0029259764815227143,1054
no_evidence_pos,0.003566045537563107,342
no_evidence_neg,0.0006527783024216397,1082
implied_category,0.0036089100517015227,16
typical_of_concept,0.04040252649555974,4
affording_activity,0.013847078558878772,4
afforded_usual,,3
afforded_unusual,0.004642169676957901,20
variability_limited,0.0026280533826882266,111
variability_open,0.0033072979187884688,77
variability_limited_scalar,0.030353054776344906,1
variability_open_scalar,0.0012807192866305494,95
rare,0.0014457381280782574,19
unusual,0.0005497930034840571,81
impossible,0.0,307
creative,0.0008560365259613523,23
