relation,non-specific,n_pairs
pos,0.10607979599458742,1766
neg,0.05921691960657767,1186
all,0.1575682382133995,1021
some,0.07767775068290919,745
few,0.05921691960657767,1186
evidence,0.11735511742671231,1054
no_evidence_pos,0.07573245707876114,342
no_evidence_neg,0.0595038050185109,1082
implied_category,0.06740850595183871,16
typical_of_concept,0.2170252907053049,4
affording_activity,0.33538830183567026,4
afforded_usual,0.4166666666666667,3
afforded_unusual,0.038059834374998464,20
variability_limited,0.09090909090909093,111
variability_open,0.06449772041760693,77
variability_limited_scalar,0.12090613111600065,1
variability_open_scalar,0.06691538606453698,95
rare,0.07053890738685413,19
unusual,0.052046783625730994,81
impossible,0.07081666695119612,307
creative,0.04784057091248278,23
