context,n_pos,total_pos,n_neg,total_neg
herself,77,109,9,109
she,72,109,10,109
beautiful,68,109,9,109
lady,65,109,6,109
anna,63,109,4,109
love,63,109,18,109
mary,61,109,4,109
actress,60,109,7,109
elizabeth,60,109,3,109
maria,59,109,1,109
lovely,59,109,5,109
marie,58,109,5,109
jennifer,58,109,7,109
ms,58,109,15,109
joan,58,109,4,109
her,58,109,17,109
dress,57,109,5,109
daughter,57,109,17,109
beauty,57,109,5,109
julie,57,109,7,109
kate,57,109,7,109
michelle,56,109,7,109
anne,56,109,5,109
margaret,56,109,4,109
alice,55,109,3,109
princess,54,109,12,109
married,54,109,18,109
mrs,54,109,7,109
dresses,53,109,2,109
pink,53,109,10,109
patricia,53,109,2,109
jane,53,109,5,109
sexy,53,109,6,109
plays,52,109,19,109
woman,52,109,23,109
emma,52,109,2,109
looks,51,109,31,109
catherine,51,109,7,109
heroine,51,109,6,109
rachel,51,109,5,109
janet,50,109,8,109
blond,50,109,6,109
falls,50,109,13,109
sarah,50,109,10,109
mother,50,109,17,109
helen,50,109,3,109
played,50,109,29,109
betty,50,109,5,109
ruth,50,109,5,109
fashion,50,109,16,109
grace,49,109,20,109
sara,49,109,8,109
women,49,109,18,109
sex,49,109,18,109
story,49,109,21,109
are,49,109,42,109
julia,48,109,6,109
stories,48,109,12,109
gets,48,109,30,109
sally,48,109,10,109
annie,48,109,6,109
queen,48,109,9,109
wears,48,109,22,109
picture,48,109,27,109
girl,47,109,16,109
romance,47,109,20,109
becomes,47,109,18,109
sister,47,109,17,109
susan,46,109,14,109
rebecca,46,109,5,109
shirley,46,109,5,109
donna,46,109,8,109
christine,46,109,5,109
lisa,46,109,12,109
angela,46,109,5,109
miss,46,109,10,109
doll,45,109,4,109
wearing,45,109,21,109
louise,45,109,6,109
heather,45,109,5,109
pregnant,45,109,8,109
affair,45,109,8,109
nancy,45,109,12,109
laura,45,109,5,109
children,45,109,25,109
ann,45,109,14,109
grandmother,45,109,7,109
victoria,45,109,5,109
hair,45,109,18,109
martha,45,109,10,109
