context,n_pos,total_pos,n_neg,total_neg
her,11,16,1,16
she,11,16,2,16
actress,11,16,0,16
stories,10,16,0,16
so,9,16,1,16
jennifer,9,16,1,16
lady,9,16,0,16
played,9,16,1,16
herself,9,16,0,16
hoping,8,16,4,16
if,8,16,6,16
usual,8,16,4,16
da,8,16,0,16
sharp,8,16,1,16
read,8,16,2,16
12,8,16,5,16
prompted,8,16,2,16
lovely,8,16,2,16
refers,8,16,1,16
pronounced,7,16,1,16
about,7,16,5,16
afp,7,16,2,16
low,7,16,4,16
using,7,16,3,16
states,7,16,4,16
protect,7,16,4,16
flower,7,16,1,16
poor,7,16,5,16
eliminate,7,16,2,16
remain,7,16,3,16
service,7,16,6,16
editor,7,16,0,16
mud,7,16,1,16
cool,7,16,3,16
sends,7,16,4,16
alternative,7,16,6,16
waste,7,16,2,16
ally,7,16,1,16
richardson,7,16,0,16
hosts,7,16,4,16
gathering,7,16,2,16
wide,7,16,2,16
joan,7,16,0,16
like,7,16,4,16
rachel,7,16,0,16
beauty,7,16,1,16
sister,7,16,2,16
role,7,16,2,16
love,7,16,2,16
half,7,16,2,16
movie,7,16,4,16
maria,7,16,0,16
sex,7,16,3,16
learned,7,16,2,16
women,7,16,1,16
swimming,7,16,0,16
becomes,7,16,1,16
beach,7,16,3,16
ms,7,16,2,16
album,7,16,4,16
newest,7,16,1,16
probably,7,16,1,16
300,7,16,4,16
voice,7,16,2,16
title,7,16,2,16
of,7,16,9,16
close,7,16,2,16
which,7,16,6,16
over,7,16,7,16
teen,7,16,3,16
style,7,16,4,16
farming,7,16,0,16
stranger,7,16,1,16
elizabeth,7,16,0,16
oct,7,16,3,16
singer,7,16,1,16
queen,7,16,0,16
save,7,16,3,16
source,7,16,6,16
discovered,7,16,5,16
sent,7,16,3,16
drops,7,16,1,16
bride,7,16,3,16
disorder,6,16,0,16
intended,6,16,1,16
chan,6,16,1,16
grass,6,16,1,16
can,6,16,9,16
those,6,16,7,16
goals,6,16,2,16
only,6,16,4,16
tomatoes,6,16,1,16
used,6,16,5,16
then,6,16,4,16
particularly,6,16,3,16
mature,6,16,1,16
pregnant,6,16,2,16
soon,6,16,5,16
climate,6,16,3,16
na,6,16,2,16
reject,6,16,0,16
nation,6,16,6,16
27,6,16,5,16
worried,6,16,4,16
heat,6,16,1,16
often,6,16,7,16
methods,6,16,4,16
different,6,16,3,16
rather,6,16,3,16
mix,6,16,4,16
diamond,6,16,1,16
wash,6,16,2,16
occasions,6,16,1,16
priority,6,16,5,16
reliable,6,16,4,16
schools,6,16,6,16
behalf,6,16,2,16
samples,6,16,1,16
certain,6,16,2,16
findings,6,16,2,16
dry,6,16,2,16
titled,6,16,1,16
choice,6,16,7,16
plan,6,16,2,16
price,6,16,5,16
heavy,6,16,4,16
pre,6,16,5,16
tradition,6,16,5,16
path,6,16,4,16
falls,6,16,2,16
bacteria,6,16,1,16
spice,6,16,1,16
sorrow,6,16,2,16
survivors,6,16,3,16
functions,6,16,2,16
converted,6,16,3,16
alert,6,16,1,16
colonial,6,16,4,16
virgin,6,16,0,16
prefer,6,16,2,16
vulnerable,6,16,1,16
84,6,16,5,16
