pair,label,prop-specific,non-specific,p,l,n,i,r,b,u
"('square', 'clipboard')",pos,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,347.5
"('square', 'stairwell')",pos,0.0,24.0,0.0,0.0,0.0,23.0,1.0,0.0,401.5
"('square', 'room')",pos,0.0,52.666666666666664,0.0,0.0,0.0,51.0,1.6666666666666667,0.0,1080.0
"('square', 'dresser')",pos,0.0,31.5,0.0,0.0,0.0,29.5,2.0,0.0,379.5
"('square', 'refrigerator')",pos,0.0,40.0,0.0,0.0,0.0,39.0,1.0,0.0,589.5
"('square', 'card')",pos,0.0,28.25,0.0,0.0,0.0,27.25,1.0,0.0,763.5
"('square', 'screen')",pos,0.0,52.0,0.0,0.0,0.0,50.0,2.0,0.0,1029.5
"('square', 'console')",pos,0.0,22.0,0.0,0.0,0.0,21.0,1.0,0.0,267.0
"('square', 'file')",pos,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,564.25
"('square', 'drawer')",pos,0.0,37.5,0.0,0.0,0.0,35.5,2.0,0.0,550.0
"('square', 'button')",pos,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,131.0
"('square', 'laptop')",pos,0.0,43.5,0.0,0.0,0.0,43.0,0.5,0.0,543.0
"('square', 'bathroom')",pos,0.0,45.0,0.0,0.0,0.0,43.0,2.0,0.0,805.0
"('square', 'dining')",pos,0.0,31.0,0.0,0.0,0.0,29.5,1.5,0.0,598.0
"('square', 'armoire')",pos,0.0,20.0,0.0,0.0,0.0,19.0,1.0,0.0,176.0
"('square', 'typewriter')",pos,0.0,32.5,0.0,0.0,0.0,32.5,0.0,0.0,429.5
"('square', 'basement')",pos,0.0,35.5,0.0,0.0,0.0,34.5,1.0,0.0,622.0
"('square', 'newspaper')",pos,0.0,34.333333333333336,0.0,0.0,0.0,32.333333333333336,2.0,0.0,846.3333333333334
"('square', 'wallpaper')",pos,0.0,49.0,0.0,0.0,0.0,47.0,2.0,0.0,748.5
"('square', 'closet')",pos,0.0,38.5,0.0,0.0,0.0,36.5,2.0,0.0,733.5
"('square', 'desktop')",pos,0.0,28.5,0.0,0.0,0.0,27.0,1.5,0.0,355.5
"('square', 'doorbell')",pos,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,124.0
"('square', 'countertop')",pos,0.0,18.0,0.0,0.0,0.0,17.0,1.0,0.0,217.5
"('square', 'fireplace')",pos,0.0,32.0,0.0,0.0,0.0,31.0,1.0,0.0,485.5
"('square', 'cube')",pos,0.0,15.5,0.0,0.0,0.0,14.5,1.0,0.0,284.0
"('square', 'foyer')",pos,0.0,34.5,0.0,0.0,0.0,33.5,1.0,0.0,359.5
"('square', 'sharpener')",pos,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0
"('square', 'tart')",pos,0.0,18.5,0.0,0.0,0.0,17.5,1.0,0.0,408.0
"('square', 'cupboard')",pos,0.0,24.5,0.0,0.0,0.0,24.5,0.0,0.0,400.0
"('square', 'shelf')",pos,0.0,31.5,0.0,0.0,0.0,29.5,2.0,0.0,453.0
"('square', 'bedroom')",pos,0.0,37.5,0.0,0.0,0.0,36.5,1.0,0.0,555.0
"('square', 'keypad')",pos,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,207.5
"('square', 'restroom')",pos,0.0,33.0,0.0,0.0,0.0,32.0,1.0,0.0,603.0
"('square', 'apartment')",pos,0.0,35.0,0.0,0.0,0.0,34.0,1.0,0.0,775.0
"('square', 'recliner')",pos,0.0,23.0,0.0,0.0,0.0,21.0,2.0,0.0,273.0
"('square', 'footrest')",pos,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,47.0
"('square', 'blackboard')",pos,0.0,20.5,0.0,0.0,0.0,19.5,1.0,0.0,344.0
"('square', 'floor')",pos,0.0,47.5,0.0,0.0,0.0,45.5,2.0,0.0,1067.0
