,weapon,vegetable,cutlery,mammal,animal,no-cat,tool,bird,all,communication,relation,used_in_cooking,object,food,plant,measure,vehicle,mean
knife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hatchet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0029543701474086894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031673697810826107,0.0029543701474086894,0.002151094663236543,0.0,0.0006604238081845019
spinach,0.0,0.013293669130207518,0.0,0.0,0.0,0.0,0.0,0.0,0.012614905554170561,0.0,0.0,0.0,0.0,0.0138108552006584,0.013293669130207518,0.0,0.0,0.0031184175891319998
pea,0.0,0.003041474619779979,0.0,0.0,0.0,0.00305716931837015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003183152758585891,0.003041474619779979,0.0,0.0,0.0007248983127362352
cabbage,0.0,0.0051435521973091074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005359209072618986,0.0051435521973091074,0.003828585900017059,0.0,0.001145582315720839
mustard,0.0,0.018605558945403063,0.0,0.0,0.0,0.0,0.0,0.0,0.01868944591844498,0.0,0.0,0.0,0.01868502402481217,0.01921978075756212,0.018605558945403063,0.0,0.0,0.005517962858330905
cucumber,0.0,0.003873049592966955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004120275250110505,0.003873049592966955,0.0,0.0,0.0006980220256496715
