,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chassis,57,0.05,0.04,-
1,wheel,56,0.04,0.04,-
2,wheels,52,0.03,0.03,-
3,wheeled,52,0.03,0.02,-
4,automobile,51,0.03,0.02,-
5,manufacturer,50,0.03,0.03,-
6,vehicles,50,0.02,0.02,-
7,vehicle,49,0.04,0.03,-
8,road,48,0.03,0.03,-
9,bicycle,48,0.04,0.04,-
10,driving,47,0.03,0.02,-
11,produced,47,0.01,0.01,-
12,wagon,47,0.05,0.04,-
13,driver,46,0.09,0.08,-
14,introduced,46,0.01,0.01,-
15,standard,46,0.01,0.01,-
16,model,46,0.02,0.02,-
17,level,45,0.01,0.01,-
18,prototype,45,0.02,0.01,-
19,car,45,0.06,0.04,-
20,wheel,56,0.04,0.04,-
21,wheels,52,0.03,0.03,-
