,context,n_concepts,mean_tfidf,mean_diff,evidence
0,in,26,0.03,0.01,-
1,shared,25,0.0,0.0,-
2,by,25,0.02,0.01,-
3,causing,24,0.0,0.0,-
4,various,24,0.0,0.0,-
5,person,24,0.0,0.0,-
6,children,24,0.01,0.0,-
7,dropping,24,0.0,0.0,-
8,take,24,0.01,0.0,-
9,spent,24,0.01,0.01,-
10,comes,24,0.01,0.0,-
11,blue,24,0.04,0.04,-
12,inside,24,0.01,0.01,-
13,their,23,0.01,0.01,-
14,approached,23,0.01,0.0,-
15,hardly,23,0.0,0.0,-
16,bearing,23,0.01,0.0,-
17,either,23,0.0,0.0,-
18,hours,23,0.01,0.0,-
19,later,23,0.01,0.0,-
20,blue,24,0.04,0.04,-
