pair,label,prop-specific
"('square', 'wallpaper')",pos,
"('square', 'desktop')",pos,
"('square', 'kitchen')",pos,
"('square', 'window')",pos,
"('square', 'shelf')",pos,
"('square', 'card')",pos,
"('square', 'clipboard')",pos,
"('square', 'screen')",pos,
"('square', 'fireplace')",pos,
"('square', 'classroom')",pos,
"('square', 'folder')",pos,
"('square', 'cafeteria')",pos,
"('square', 'sideboard')",pos,
"('square', 'locker')",pos,
"('square', 'doorbell')",pos,
"('square', 'box')",pos,
"('square', 'gameboard')",pos,
"('square', 'cube')",pos,
"('square', 'washroom')",pos,
"('square', 'lavatory')",pos,
"('square', 'mainframe')",pos,
"('square', 'hardware')",pos,
"('square', 'computer')",pos,
"('square', 'tray')",pos,
"('square', 'suite')",pos,
"('square', 'desk')",pos,
"('square', 'bedroom')",pos,
"('square', 'drawer')",pos,
"('square', 'typewriter')",pos,
"('square', 'foyer')",pos,
"('square', 'kitchenette')",pos,
"('square', 'hallway')",pos,
"('square', 'basement')",pos,
"('square', 'bookmark')",pos,
"('square', 'countertop')",pos,
"('square', 'snack')",pos,
"('square', 'lounge')",pos,
"('square', 'bathroom')",pos,
"('square', 'cupboard')",pos,
"('square', 'balcony')",pos,
"('square', 'sharpener')",pos,
"('square', 'notebook')",pos,
"('square', 'luggage')",pos,
"('square', 'couch')",pos,
"('square', 'button')",pos,
"('square', 'parlor')",pos,
"('square', 'pantry')",pos,
"('square', 'floppy')",pos,
"('square', 'closet')",pos,
"('square', 'dresser')",pos,
"('square', 'table')",pos,
"('square', 'armoire')",pos,
"('square', 'footrest')",pos,
"('square', 'workspace')",pos,
"('square', 'bookshelf')",pos,
"('square', 'dongle')",pos,
"('square', 'refrigerator')",pos,
"('square', 'file')",pos,
"('square', 'sunroom')",pos,
"('square', 'workroom')",pos,
"('square', 'armrest')",pos,
"('square', 'phone')",pos,
"('square', 'photocopier')",pos,
"('square', 'room')",pos,
"('square', 'tart')",pos,
"('square', 'diskette')",pos,
"('square', 'cubicle')",pos,
"('square', 'dining')",pos,
"('square', 'playroom')",pos,
"('square', 'cabinet')",pos,
"('square', 'keypad')",pos,
"('square', 'server')",pos,
"('square', 'toilet')",pos,
"('square', 'bookcase')",pos,
"('square', 'blackboard')",pos,
"('square', 'page')",pos,
"('square', 'stairwell')",pos,
"('square', 'rack')",pos,
"('square', 'apartment')",pos,
"('square', 'floor')",pos,
"('square', 'laptop')",pos,
"('square', 'workstation')",pos,
"('square', 'carrel')",pos,
"('square', 'restroom')",pos,
"('square', 'dumbwaiter')",pos,
"('square', 'recliner')",pos,
"('square', 'macintosh')",pos,
"('square', 'newspaper')",pos,
"('square', 'marble')",pos,
"('square', 'console')",pos,
"('square', 'orange')",neg,
"('square', 'planet')",neg,
"('square', 'sphere')",neg,
"('square', 'barrel')",neg,
"('square', 'egg')",neg,
"('square', 'circle')",neg,
"('square', 'cds')",neg,
"('square', 'globe')",neg,
"('square', 'bucket')",neg,
"('square', 'ball')",neg,
"('square', 'disk')",neg,
"('square', 'tape')",neg,
"('square', 'mug')",neg,
"('square', 'tortilla')",neg,
"('square', 'bracelet')",neg,
"('square', 'pen')",neg,
"('square', 'door')",neg,
"('square', 'frisbee')",neg,
"('square', 'wheel')",neg,
"('square', 'doorknob')",neg,
"('square', 'apple')",neg,
"('warm', 'tile')",pos,
"('warm', 'shalwar')",pos,
"('warm', 'heating')",pos,0.29877766966819763
"('warm', 'turban')",pos,
"('warm', 'robe')",pos,
"('warm', 'soup')",pos,0.4594778681794802
"('warm', 'tunic')",pos,
"('warm', 'uniform')",pos,
"('warm', 'stocking')",pos,
"('warm', 'sleeve')",pos,
"('warm', 'turtleneck')",pos,
"('warm', 'nose')",pos,
"('warm', 'denim')",pos,
"('warm', 'feather')",pos,
"('warm', 'mitten')",pos,
"('warm', 'flame')",pos,0.34645162969827653
"('warm', 'overcoat')",pos,
"('warm', 'dress')",pos,0.21419888734817505
"('warm', 'fireplace')",pos,0.3650798996289571
"('warm', 'candle')",pos,0.16918907480107412
"('warm', 'taffeta')",pos,
"('warm', 'helmet')",pos,
"('warm', 'flannel')",pos,
"('warm', 'mug')",pos,0.1034059002995491
"('warm', 'mask')",pos,
"('warm', 'stove')",pos,0.29877766966819763
"('warm', 'linen')",pos,0.30060357848803204
"('warm', 'kimono')",pos,
"('warm', 'bathtub')",pos,0.21419888734817505
"('warm', 'dad')",pos,0.3650798996289571
"('warm', 'wig')",pos,
"('warm', 'jumpsuit')",pos,
"('warm', 'cassock')",pos,
"('warm', 'deerskin')",pos,
"('warm', 'winter')",pos,
"('warm', 'basement')",pos,0.19556354482968646
"('warm', 'casserole')",pos,0.5087593015697266
"('warm', 'space')",pos,
"('warm', 'brogue')",pos,
"('warm', 'topcoat')",pos,
"('warm', 'river')",pos,
"('warm', 'blanket')",pos,0.1034059002995491
"('warm', 'glass')",pos,
"('warm', 'underwear')",pos,0.24260824918746948
"('warm', 'garment')",pos,
"('warm', 'chiffon')",pos,
"('warm', 'tortilla')",pos,0.33867897739013036
"('warm', 'clothing')",pos,0.29877766966819763
"('warm', 'jacket')",pos,0.14211991429328918
"('warm', 'loincloth')",pos,
"('warm', 'pyjama')",pos,
"('warm', 'lava')",pos,
"('warm', 'smoke')",pos,0.34562667542033726
"('warm', 'sock')",pos,
"('warm', 'sheepskin')",pos,
"('warm', 'juice')",pos,0.5031953884495629
"('warm', 'jean')",pos,
"('warm', 'shoe')",pos,0.21419888734817505
"('warm', 'cape')",pos,
"('warm', 'towel')",pos,0.1034059002995491
"('warm', 'sandal')",pos,
"('warm', 'trouser')",pos,
"('warm', 'bed')",pos,0.2537086879213651
"('warm', 'outfit')",pos,0.171530748407046
"('warm', 'undergarment')",pos,
"('warm', 'bathrobe')",pos,
"('warm', 'poncho')",pos,
"('warm', 'headdress')",pos,
"('warm', 'sweater')",pos,
"('warm', 'coffee')",pos,0.3962083504597346
"('warm', 'suit')",pos,
"('warm', 'dragon')",pos,
"('warm', 'slipper')",pos,
"('warm', 'leather')",pos,
"('warm', 'shawl')",pos,
"('warm', 'vapor')",pos,0.2558557192484538
"('warm', 'coat')",pos,
"('warm', 'headgear')",pos,
"('warm', 'skirt')",pos,
"('warm', 'waist')",pos,0.1034059002995491
"('warm', 'gown')",pos,0.24260824918746948
"('warm', 'people')",pos,0.28963939348856604
"('warm', 'glove')",pos,
"('warm', 'sun')",pos,0.1769282023111979
"('warm', 'bodice')",pos,
"('warm', 'blouse')",pos,
"('warm', 'scarf')",pos,
"('warm', 'cheesecloth')",pos,
"('warm', 'outerwear')",pos,
"('warm', 'corset')",pos,
"('warm', 'calfskin')",pos,
"('warm', 'toilet')",pos,0.6384326219558716
"('warm', 'undershirt')",pos,
"('warm', 'salwar')",pos,
"('warm', 'head')",pos,
"('warm', 'cloth')",pos,0.23888898889223734
"('warm', 'parka')",pos,
"('warm', 'pullover')",pos,
"('warm', 'nightgown')",pos,
"('warm', 'waistcoat')",pos,
"('warm', 'necktie')",pos,
"('warm', 'costume')",pos,
"('warm', 'atmosphere')",pos,0.2192900040083461
"('warm', 'footwear')",pos,
"('warm', 'sunglass')",pos,
"('warm', 'hat')",pos,
"('warm', 'water')",pos,0.30982520629962285
"('warm', 'drink')",pos,0.32791400303443274
"('warm', 'leotard')",pos,
"('warm', 'bootie')",pos,
"('warm', 'attire')",pos,0.1034059002995491
"('warm', 'comforter')",pos,
"('warm', 'kettle')",pos,0.3191135161452823
"('warm', 'vest')",pos,
"('warm', 'frock')",pos,
"('warm', 'heat')",pos,0.32087275087833406
"('warm', 'jungle')",pos,
"('warm', 'toe')",pos,
"('warm', 'cloak')",pos,
"('warm', 'cake')",pos,0.41990615129470826
"('warm', 'vinyl')",pos,
"('warm', 'boot')",pos,
"('warm', 'greatcoat')",pos,
"('warm', 'sealskin')",pos,
"('warm', 'tea')",pos,0.44107626855373383
"('warm', 'wool')",pos,0.2859489586618212
"('warm', 'miniskirt')",neg,
"('warm', 'candy')",neg,
"('warm', 'cuff')",neg,
"('warm', 'shoelace')",neg,
"('warm', 'forest')",neg,
"('warm', 'lemonade')",neg,0.12791333430343202
"('warm', 'bag')",neg,0.41016769243611223
"('warm', 'bikini')",neg,
"('warm', 'sword')",neg,
"('warm', 'cincture')",neg,
"('warm', 'strap')",neg,
"('warm', 'sporran')",neg,
"('warm', 'lace')",neg,
"('warm', 'icicle')",neg,
"('warm', 'necklace')",neg,
"('warm', 'beer')",neg,0.35792965690294903
"('warm', 'fridge')",neg,0.41590556502342224
"('warm', 'telephone')",neg,
"('warm', 'surfboard')",neg,
"('warm', 'feeling')",neg,
"('warm', 'problem')",neg,
"('warm', 'bandana')",neg,
"('warm', 'anklet')",neg,
"('warm', 'pomade')",neg,
"('warm', 'moon')",neg,
"('warm', 'grosgrain')",neg,
"('warm', 'idea')",neg,
"('warm', 'collar')",neg,
"('warm', 'garter')",neg,
"('warm', 'can')",neg,0.40579239353537555
"('warm', 'handkerchief')",neg,
"('warm', 'earring')",neg,
"('warm', 'mortarboard')",neg,
"('warm', 'cummerbund')",neg,
"('warm', 'ice')",neg,
"('black', 'sky')",pos,0.504345178604126
"('black', 'currawong')",pos,
"('black', 'bat')",pos,
"('black', 'cockroach')",pos,
"('black', 'raccoon')",pos,
"('black', 'stocking')",pos,
"('black', 'night')",pos,0.3054717779159546
"('black', 'bra')",pos,
"('black', 'civet')",pos,
"('black', 'millipede')",pos,
"('black', 'raisin')",pos,
"('black', 'coatis')",pos,
"('black', 'pea')",pos,
"('black', 'truffle')",pos,
"('black', 'dress')",pos,0.4049084782600403
"('black', 'lizard')",pos,
"('black', 'sheep')",pos,0.4049084782600403
"('black', 'rhagoletis')",pos,
"('black', 'paridae')",pos,
"('black', 'magpie')",pos,0.30831585079431534
"('black', 'tyre')",pos,
"('black', 'crypt')",pos,
"('black', 'cloud')",pos,0.38898780941963196
"('black', 'bear')",pos,0.38898780941963196
"('black', 'skunk')",pos,
"('black', 'leopard')",pos,
"('black', 'hair')",pos,0.3054717779159546
"('black', 'paint')",pos,0.3717629114786784
"('black', 'lantern')",pos,0.504345178604126
"('black', 'oven')",pos,
"('black', 'nightmare')",pos,
"('black', 'eye')",pos,0.4049084782600403
"('black', 'coal')",pos,
"('black', 'potoroo')",pos,
"('black', 'bird')",pos,0.3894171118736267
"('black', 'grape')",pos,0.504345178604126
"('black', 'snake')",pos,0.4049084782600403
"('black', 'glass')",pos,
"('black', 'pupil')",pos,
"('black', 'monkey')",pos,0.46543123573064804
"('black', 'crow')",pos,
"('black', 'housefly')",pos,
"('black', 'car')",pos,
"('black', 'tar')",pos,
"('black', 'jean')",pos,
"('black', 'football')",pos,
"('black', 'woodpecker')",pos,
"('black', 'cow')",pos,
"('black', 'hornet')",pos,
"('black', 'rhino')",pos,
"('black', 'coffee')",pos,0.504345178604126
"('black', 'suit')",pos,0.504345178604126
"('black', 'balloon')",pos,
"('black', 'mussel')",pos,0.05095516890287399
"('black', 'calf')",pos,
"('black', 'umbrella')",pos,
"('black', 'recorder')",pos,
"('black', 'weasel')",pos,
"('black', 'zebra')",pos,
"('black', 'gorilla')",pos,
"('black', 'gown')",pos,0.504345178604126
"('black', 'insect')",pos,
"('black', 'owl')",pos,
"('black', 'pipefish')",pos,
"('black', 'opossum')",pos,
"('black', 'starling')",pos,
"('black', 'pot')",pos,
"('black', 'rat')",pos,
"('black', 'miner')",pos,
"('black', 'crocodile')",pos,
"('black', 'cat')",pos,0.504345178604126
"('black', 'parka')",pos,
"('black', 'blackboard')",pos,
"('black', 'market')",pos,
"('black', 'rabbit')",pos,0.42111219465732574
"('black', 'dog')",pos,0.4184275507926941
"('black', 'ring')",pos,0.504345178604126
"('black', 'penguin')",pos,
"('black', 'aubergine')",pos,
"('black', 'beetle')",pos,
"('black', 'acaridae')",pos,
"('black', 'cherry')",pos,0.504345178604126
"('black', 'olive')",pos,0.43805404504140216
"('black', 'hose')",pos,
"('black', 'human')",pos,
"('black', 'pit')",pos,0.20382067561149597
"('black', 'pig')",pos,
"('black', 'pelican')",pos,
"('black', 'onion')",neg,
"('black', 'raspberry')",neg,
"('black', 'rain')",neg,
"('black', 'ketchup')",neg,
"('black', 'alligator')",neg,
"('black', 'weed')",neg,
"('black', 'combretum')",neg,
"('black', 'lion')",neg,
"('black', 'jade')",neg,
"('black', 'frog')",neg,
"('black', 'lime')",neg,
"('black', 'lobster')",neg,
"('black', 'corn')",neg,
"('black', 'supermarket')",neg,
"('black', 'pansy')",neg,
"('black', 'tomato')",neg,
"('black', 'dogbane')",neg,
"('black', 'milk')",neg,
"('black', 'fir')",neg,
"('black', 'parrot')",neg,
"('black', 'flower')",neg,
"('black', 'cucumber')",neg,
"('black', 'pyramid')",neg,
"('black', 'ladybird')",neg,
"('black', 'brick')",neg,0.20382067561149597
"('black', 'toucanet')",neg,
"('black', 'heart')",neg,
"('black', 'viscacha')",neg,
"('black', 'rice')",neg,
"('black', 'gherkin')",neg,
"('black', 'carnation')",neg,
"('black', 'fox')",neg,
"('black', 'sun')",neg,0.20382067561149597
"('black', 'echinocereus')",neg,
"('black', 'honey')",neg,
"('black', 'beet')",neg,
"('black', 'buttercup')",neg,
"('black', 'frogmouth')",neg,
"('black', 'giraffe')",neg,
"('black', 'dolphin')",neg,0.1008690357208252
"('black', 'bottle')",neg,
"('black', 'pear')",neg,
"('black', 'cider')",neg,
"('black', 'peacock')",neg,
"('black', 'apple')",neg,
"('black', 'avocado')",neg,
"('black', 'crassula')",neg,
"('black', 'butter')",neg,
"('black', 'radish')",neg,
"('black', 'lark')",neg,
"('black', 'sand')",neg,
"('black', 'wine')",neg,
"('red', 'syrup')",pos,
"('red', 'blackberry')",pos,
"('red', 'pansy')",pos,
"('red', 'vegetable')",pos,
"('red', 'flame')",pos,
"('red', 'rooster')",pos,
"('red', 'robin')",pos,
"('red', 'dress')",pos,
"('red', 'currant')",pos,
"('red', 'jeep')",pos,
"('red', 'crab')",pos,
"('red', 'peony')",pos,
"('red', 'lipstick')",pos,
"('red', 'berry')",pos,
"('red', 'ginger')",pos,
"('red', 'ambulance')",pos,
"('red', 'hair')",pos,
"('red', 'wine')",pos,
"('red', 'paint')",pos,
"('red', 'oven')",pos,
"('red', 'leafs')",pos,
"('red', 'apricot')",pos,
"('red', 'mango')",pos,
"('red', 'tomato')",pos,
"('red', 'chameleon')",pos,
"('red', 'ink')",pos,
"('red', 'grape')",pos,
"('red', 'heart')",pos,
"('red', 'anger')",pos,
"('red', 'squirrel')",pos,
"('red', 'glass')",pos,
"('red', 'vinegar')",pos,
"('red', 'car')",pos,
"('red', 'clothing')",pos,
"('red', 'couch')",pos,
"('red', 'juice')",pos,
"('red', 'football')",pos,
"('red', 'fruit')",pos,
"('red', 'geranium')",pos,
"('red', 'barn')",pos,
"('red', 'shallot')",pos,
"('red', 'radish')",pos,
"('red', 'onion')",pos,
"('red', 'vine')",pos,
"('red', 'dogwood')",pos,
"('red', 'candy')",pos,
"('red', 'balloon')",pos,
"('red', 'lobster')",pos,
"('red', 'jam')",pos,
"('red', 'wand')",pos,
"('red', 'mangifera')",pos,
"('red', 'recorder')",pos,
"('red', 'flower')",pos,
"('red', 'ladybird')",pos,
"('red', 'brick')",pos,
"('red', 'clarinet')",pos,
"('red', 'carnation')",pos,
"('red', 'fox')",pos,
"('red', 'sauce')",pos,
"('red', 'beet')",pos,
"('red', 'spice')",pos,
"('red', 'allspice')",pos,
"('red', 'pot')",pos,
"('red', 'rhubarb')",pos,
"('red', 'miner')",pos,
"('red', 'apple')",pos,
"('red', 'ant')",pos,
"('red', 'fern')",pos,
"('red', 'raspberry')",pos,
"('red', 'watermelon')",pos,
"('red', 'lentil')",pos,
"('red', 'ruby')",pos,
"('red', 'ring')",pos,
"('red', 'aubergine')",pos,
"('red', 'bloodstone')",pos,
"('red', 'lip')",pos,
"('red', 'cherry')",pos,
"('red', 'cabbage')",pos,
"('red', 'melon')",pos,
"('red', 'echinocereus')",pos,
"('red', 'pepper')",pos,
"('red', 'tongue')",pos,
"('red', 'chutney')",pos,
"('red', 'strawberry')",pos,
"('red', 'pomegranate')",pos,
"('red', 'beetroot')",pos,
"('red', 'cake')",pos,
