,weapon,vegetable,cutlery,mammal,animal,no-cat,tool,bird,all,communication,relation,used_in_cooking,object,food,plant,measure,vehicle,mean
knife,0.014462196607365889,0.0,0.015096140933610207,0.0,0.0,0.0,0.013507003201918775,0.0,0.01338577599708609,0.0,0.0,0.0,0.013404473607932793,0.0,0.0,0.0,0.0,0.0041091523734066914
blade,0.0,0.0,0.0,0.0,0.0,0.0,0.0007414419997702024,0.0,0.0,0.0,0.0,0.0,0.0007397670377731341,0.0,0.0,0.0,0.0,8.712994338490215e-05
hatchet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0029543701474086894,0.0,0.0,0.0,0.0,0.0,0.0,0.0022796978548312416,0.0,0.0,0.0,0.0022850537275854307,0.0031673697810826107,0.0029543701474086894,0.0,0.0,0.0008024036269598036
spinach,0.0,0.013293669130207518,0.0,0.0,0.0,0.0,0.0,0.0,0.010645704458497992,0.0,0.0,0.0,0.010660316790663468,0.0138108552006584,0.013293669130207518,0.0,0.0,0.0036296596888373465
pea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.015430656591927322,0.0,0.0,0.0,0.0,0.0,0.0,0.01224884016760816,0.0,0.0,0.0,0.012234845097552292,0.01607762721785696,0.015430656591927322,0.016142831687606607,0.0,0.005150909256145804
mustard,0.0,0.028623936839081637,0.0,0.0,0.0,0.0,0.0,0.0,0.024264618718945506,0.0,0.0,0.0,0.024236741680813273,0.029568893473172493,0.028623936839081637,0.0,0.0,0.007959889855946738
cucumber,0.0,0.003873049592966955,0.0,0.0,0.0,0.0,0.0,0.0,0.0035616227726648544,0.0,0.0,0.0,0.003560536826947859,0.004120275250110505,0.003873049592966955,0.0,0.0,0.0011169725903327722
turnip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0,0.0038846206069874612,0.0,0.0,0.0,0.0,0.0,0.0,0.0028402952673893564,0.0,0.0,0.0,0.0028351832072466806,0.004028656464115497,0.0038846206069874612,0.0,0.0,0.0010278456560427328
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.0,0.014416149768073275,0.0,0.0,0.0,0.0,0.0,0.0,0.009928705741170503,0.0,0.0,0.0,0.009905431118476464,0.014794527221155158,0.014416149768073275,0.0,0.0,0.00373299785982051
chickpea,0.0,0.022409362981052627,0.0,0.0,0.0,0.022418397746681914,0.0,0.0,0.023173475700906034,0.0,0.0,0.0,0.02314726615777172,0.022667205359784368,0.022409362981052627,0.0,0.0,0.008013239466308782
lentil,0.0,0.010252513088032714,0.0,0.0,0.0,0.010275470804577852,0.0,0.0,0.010667896793247091,0.0,0.0,0.0,0.010700397357439502,0.011521927518047615,0.010252513088032714,0.0,0.0,0.003745336391139852
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery,0.0,0.010037237845664326,0.0,0.0,0.0,0.0,0.0,0.0,0.007298670414022859,0.0,0.0,0.0,0.007287141422543812,0.010145831069624543,0.010037237845664326,0.0,0.0,0.0026356540351482275
carrot,0.0,0.003325011000426383,0.0,0.0,0.0,0.0,0.0,0.0,0.0029211556068724867,0.0,0.0,0.0,0.0029190590416933917,0.0034654646691671806,0.003325011000426383,0.0,0.0,0.0009385706657991663
asparagus,0.0,0.016539397292966496,0.0,0.0,0.0,0.0,0.0,0.0,0.013595405460819441,0.0,0.0,0.0,0.013592366276834968,0.016915410303905695,0.016539397292966496,0.0,0.0,0.004540116272205476
tomato,0.0,0.003966033147971,0.0,0.0,0.0,0.0,0.0,0.0,0.003192709779529739,0.0,0.0,0.0,0.0031888024358922747,0.004586222115676895,0.003966033147971,0.0,0.0,0.00111175297806123
vegetable,0.0,0.024447578987007695,0.0,0.0,0.0,0.0,0.0,0.0,0.023014816774959642,0.0,0.0,0.0,0.022998894073613836,0.025240025959975678,0.024447578987007695,0.0,0.0,0.007067582046033209
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0,0.01474575949260626,0.0,0.0,0.0,0.0,0.0,0.0,0.011121163132609106,0.0,0.0,0.0,0.011100576946108312,0.015419567823011258,0.01474575949260626,0.0,0.0,0.0039489898168788935
cauliflower,0.0,0.004694819975365406,0.0,0.0,0.0,0.0,0.0,0.0,0.003661313795289433,0.0,0.0,0.0,0.0036557564672926907,0.005085400059257733,0.004694819975365406,0.0,0.0,0.0012818888395629805
pimento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.0,0.01450850849580169,0.0,0.0,0.0,0.0,0.0,0.0,0.011093566392754549,0.0,0.0,0.0,0.011074873777228074,0.015231765131626605,0.0,0.0,0.0,0.0030534537527888775
potato,0.0,0.010755105373202224,0.0,0.0,0.0,0.0,0.0,0.0,0.010025251275740872,0.0,0.0,0.0,0.010018426310910308,0.012155284044712939,0.010755105373202224,0.0,0.0,0.0031593630810452097
bean,0.0,0.007382608972479025,0.0,0.0,0.0,0.007521541571875592,0.0,0.0,0.006201360869870923,0.0,0.0,0.0,0.0061963454618737595,0.007556353920911802,0.007382608972479025,0.0,0.0,0.0024847541040876548
pigweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0,0.0,0.0025670573228793923,0.0,0.0,0.0,0.0023864578913409284,0.0,0.0023626199463370723,0.0,0.0,0.0,0.0023638290259755225,0.0,0.0,0.0,0.0,0.000569409658031348
tablespoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04589655380810153,0.0,0.0,0.0,0.04584975170225336,0.0,0.0,0.03122680808310335,0.0,0.007233712564321073
cleaver,0.0,0.0,0.0,0.0,0.0,0.0,0.003997554821018453,0.0,0.004025669520030535,0.0,0.0,0.0,0.004021528858001245,0.0,0.0,0.0,0.0,0.0007085148940617784
cutlery,0.0,0.0,0.0,0.0,0.0,0.0,0.013226971207821073,0.0,0.013142686372692305,0.0,0.0,0.0,0.013397622177662305,0.0,0.0,0.0,0.0,0.0023392517504809227
slicer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spoon,0.0,0.0,0.02407131464876438,0.0,0.0,0.0,0.0,0.0,0.02277077682125848,0.0,0.0,0.0,0.02282186725365284,0.0,0.0,0.022454341177874912,0.0,0.005418723523620625
pickaxe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackknife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mattock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switchblade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penknife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0019207145324001897,0.0,0.0,0.0,0.002007053369105925,0.0,0.0012862188870997816,0.0,0.0,0.0,0.0013395717927835742,0.0,0.0,0.0,0.0026552106578150735,0.0005416923081885026
axe,0.0,0.0,0.0005051452940140887,0.0,0.0,0.0,0.0005028857383509328,0.0,0.00027848519345807646,0.0,0.0,0.0,0.00029031339751549594,0.0,0.0,0.0,0.0,9.275468372579965e-05
sickle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scythe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lancet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chisel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalpel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,0.0,0.0,0.0,0.013884953419276586,0.017266800906892303,0.0,0.0,0.0,0.014599986325076213,0.0,0.0,0.0,0.014581049212277195,0.0188476820511313,0.0,0.0,0.0,0.0046576748185090345
drill,0.0,0.0,0.0,0.0005892947918288926,0.0004777477478338225,0.0,0.0005867241395888797,0.0,0.00037880759353035935,0.0,0.0,0.0,0.00040123727006530555,0.0,0.0,0.0,0.0,0.00014316538487336823
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244439822130731,0.0,0.0,0.0,0.004237503697466383,0.005787917002652441,0.0,0.0,0.0,0.0008394035601323268
bass,0.0,0.0,0.0,0.0,0.0010818783202128034,0.0008582489278764228,0.0,0.0,0.000985086099539937,0.0,0.0,0.0,0.0009858559997641795,0.0010065115514229506,0.0,0.0,0.0,0.0002892694646362526
lobster,0.0,0.0,0.0,0.0,0.006490468081288645,0.0,0.0,0.0,0.0052398900356831314,0.0,0.0,0.0,0.00523268089279869,0.007193558123551992,0.0,0.0,0.0,0.0014209763019601444
chicken,0.0,0.0,0.0,0.0,0.02289485792184194,0.0,0.0,0.026562320275648605,0.018324373812144888,0.0,0.0,0.0,0.018306880783170866,0.02472763395246583,0.0,0.0,0.0,0.006518592161486595
shrimp,0.0,0.0,0.0,0.0,0.009714582697607851,0.0,0.0,0.0,0.007878973664519253,0.0,0.0,0.0,0.007867424583484066,0.011310784362704055,0.0,0.0,0.0,0.0021630450181361893
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasshopper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
