,food,communication,cutlery,no-cat,vehicle,all,mammal,relation,bird,tool,object,measure,animal,weapon,mean
lettuce,0.040448870773357994,0.0,0.0,0.038940474983659636,0.0,0.02785172219100427,0.0,0.0,0.0,0.0,0.027852305311435215,0.04317073289443528,0.0,0.0,0.012733150439563742
cream,0.014047210458485355,0.0,0.0,0.0,0.0,0.01104389945391405,0.0,0.0,0.0,0.0,0.01104389945391405,0.0,0.0,0.0,0.0025810720975938182
mussel,0.008011370121409562,0.0,0.0,0.0,0.0,0.004900782074850117,0.0,0.0,0.0,0.0,0.004900782074850117,0.0,0.005892304459683465,0.0,0.0016932313379138045
spinach,0.05316221925689878,0.0,0.0,0.05238336285780121,0.0,0.03789912209074745,0.0,0.0,0.0,0.0,0.03789912209074745,0.0,0.0,0.0,0.012953130449728206
scallop,0.026122347504874074,0.0,0.0,0.0,0.0,0.024729785280577354,0.0,0.0,0.0,0.0,0.02471599773018038,0.029002516734007742,0.022730235895958087,0.0,0.009092920224685544
pea,0.01914282514537088,0.0,0.0,0.01850821612624626,0.0,0.014770574270364462,0.0,0.0,0.0,0.0,0.014770560954290801,0.0,0.0,0.0,0.004799441178305172
cabbage,0.037326034358789034,0.0,0.0,0.03636826454118869,0.0,0.029227562506658474,0.0,0.0,0.0,0.0,0.02921952331628414,0.042003648011790164,0.0,0.0,0.012438930909622179
mustard,0.024896989834236816,0.0,0.0,0.023621273684072765,0.0,0.017426143599066017,0.0,0.0,0.0,0.0,0.017426143599066017,0.0,0.0,0.0,0.005955039336888687
cucumber,0.03718350255171275,0.0,0.0,0.03680078026421499,0.0,0.027568689875127735,0.0,0.0,0.0,0.0,0.027568689875127735,0.0,0.0,0.0,0.009222975897584515
bacon,0.03172233066660598,0.0,0.0,0.0,0.0,0.026195154180524687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004136963203366476
pastry,0.00238146635662928,0.0,0.0,0.0,0.0,0.0017493084508863588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002950553433939742
oregano,0.0031864610037501246,0.0,0.0,0.003176705017710678,0.0,0.0022868547045428087,0.0,0.0,0.0,0.0,0.0022868547045428087,0.0,0.0,0.0,0.0007812053878961728
turnip,0.028629794352534092,0.0,0.0,0.028411591133808166,0.0,0.025618371019622194,0.0,0.0,0.0,0.0,0.025618371019622194,0.0,0.0,0.0,0.007734151966113332
casserole,0.11118966273432675,0.0,0.0,0.0,0.0,0.08976622448895218,0.0,0.0,0.0,0.0,0.08976613642294337,0.0,0.0,0.0,0.02076585883187302
soup,0.4285482570842046,0.0,0.0,0.0,0.0,0.33828763583285004,0.0,0.4747205281137662,0.0,0.0,0.0,0.0,0.0,0.0,0.0886826015022015
broccoli,0.0714381939486865,0.0,0.0,0.07073449244320493,0.0,0.04329128669413373,0.0,0.0,0.0,0.0,0.04329128669413373,0.0,0.0,0.0,0.01633966141286849
gravy,0.11602612767987044,0.0,0.0,0.0,0.0,0.08965926736298162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014691813931632288
vinaigrette,0.026035326700627803,0.0,0.0,0.0,0.0,0.017760978709860195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003128307529320571
ham,0.02787804398969982,0.0,0.0,0.0,0.0,0.02526699193513969,0.0,0.0,0.0,0.0,0.02526699193513969,0.0,0.0,0.0,0.005600859132855657
pasta,0.10690940205280831,0.0,0.0,0.0,0.0,0.07898141559161713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013277915546030389
blade,0.0007544240488809479,0.0,0.0,0.0,0.0,0.0006492021533413218,0.0,0.0,0.0,0.000645443106400722,0.0006491850339988618,0.0,0.0,0.0005139297390469774,0.0002294417201192022
