,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.0009133960175081201,0.0,0.0,0.0,0.0,0.0,0.0008582489278764228,0.0,0.0,0.0007542226965929604,0.0,0.0,0.0006885866166137831,0.0,0.0010065115514229506,0.0007549800094020212,0.0,0.0002927026952597799
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.00036470589136108737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000264255842060132,0.0,0.0003811571551976296,0.0,0.0,0.0,0.0002649808779274048,0.0,7.500586862036787e-05
shrimp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,0.0007475805018944258,0.0,0.0,0.0,0.0,0.0007120488932962351,0.0,0.0,0.0,0.0005720582825363467,0.0,0.0,0.0,0.0,0.0009665477974939128,0.00057382451622813,0.0,0.00021012117596759118
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.0006613265069292795,0.0006757876667427645,0.0,0.0,0.0,0.0005892947918288926,0.0,0.0,0.0,0.0005932196633336667,0.0,0.0,0.0,0.0,0.0,0.0005810162160138641,0.0,0.00018239087322638047
