,all,relation,weapon,mammal,bird,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,green,mean,median
glass,0.0093948206785039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009062330475593986,0.0,0.0,0.0,0.014318726088152017,0.0,0.00218505848281666,0.0
lettuce,0.019071676199336265,0.0,0.0,0.0,0.0,0.0,0.0,0.02388707190031624,0.023134522802401653,0.019603903749734676,0.0,0.0,0.023417857406931208,0.0285689390423485,0.0,0.009178931406737903,0.0
herb,0.006999948442554803,0.0,0.0,0.0,0.0,0.0,0.0,0.006846698434230615,0.006519311318264274,0.0068124136256961145,0.0,0.0,0.0,0.0,0.0,0.0018118914547163875,0.0
lawn,0.01861667693620756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194033221430627,0.0,0.0,0.0,0.0,0.0,0.002534666605284684,0.0
guava,0.011515774882968215,0.0,0.0,0.0,0.0,0.0,0.0,0.014043625362020291,0.013868389543919836,0.011440332613218642,0.014385816305355419,0.0,0.0,0.0,0.0,0.004350262580498827,0.0
iguana,0.13187715826695276,0.0,0.0,0.0,0.0,0.1538293018901611,0.12985664590094728,0.0,0.0,0.11983544530921392,0.0,0.0,0.0,0.0,0.0,0.03569323675781833,0.0
spinach,0.02842096849761225,0.0,0.0,0.0,0.0,0.0,0.0,0.034095246420193834,0.03307982079770617,0.028221833825306738,0.0,0.0,0.032222846077217246,0.0,0.0,0.010402714374535748,0.0
cabbage,0.04519896642728678,0.0,0.0,0.0,0.0,0.0,0.0,0.051115187116380655,0.051721944470245175,0.04436846320527984,0.0,0.0,0.047145383328249996,0.06286682612810851,0.0,0.02016111804503673,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0011375952768818904,0.0,0.0,0.0,0.0,0.0,0.0,0.0010280850254442374,0.0008646719538715773,0.0010079596370998914,0.0011168251554940542,0.0,0.0,0.0,0.0,0.00034367580325277673,0.0
seaweed,0.03640605071980281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03137364953455217,0.0,0.0,0.0,0.0,0.0,0.004518646683623665,0.0
cucumber,0.0339836010209006,0.0,0.0,0.0,0.0,0.0,0.0,0.041943193820735275,0.041198522580497825,0.03276244477098336,0.0,0.0,0.03966765800004061,0.0,0.0,0.012637028012877177,0.0
banana,0.005988244236182421,0.0,0.0,0.0,0.0,0.0,0.0,0.006015673867378121,0.00594659003528496,0.005856242263841776,0.006481128805238499,0.0,0.0,0.0,0.0,0.002019191947195052,0.0
fruit,0.008294305973222386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007933587512768903,0.008782490922892384,0.0,0.0,0.0,0.0,0.001667358960592245,0.0
oregano,0.0021204774320273,0.0,0.0,0.0,0.0,0.0,0.0,0.002822054643158388,0.0028569481733864833,0.002108193038972861,0.0,0.0,0.0,0.0,0.0,0.0006605115525030022,0.0
berry,0.0012183107875704219,0.0,0.0,0.0,0.0,0.0,0.0,0.0010479139330796716,0.0,0.0012454463706646408,0.0013258611156784753,0.0,0.0,0.0,0.0,0.0003225021471328806,0.0
crocodile,0.0029116078942509746,0.0,0.0,0.0,0.0,0.005210988280883596,0.0032905197897979176,0.0,0.0,0.002806816796709768,0.0,0.0,0.0,0.0,0.0,0.0009479955174428169,0.0
tank,0.0023589747925443494,0.0,0.0,0.0,0.0,0.0034747763696788116,0.0,0.0,0.0,0.0022618559694359682,0.0,0.0,0.0,0.00361877221946331,0.0,0.0007809586234081625,0.0
broccoli,0.022970020461469415,0.0,0.0,0.0,0.0,0.0,0.0,0.028486318499076048,0.030851562714562616,0.02376751983008996,0.0,0.0,0.02842691691269235,0.0,0.0,0.008966822561192692,0.0
eucalyptus,0.010645067308508165,0.011539506339745889,0.0,0.0,0.0,0.0,0.0,0.0,0.01010782120125521,0.010528349547727873,0.0,0.0,0.0,0.0,0.0,0.0028547162931491427,0.0
parka,0.056875045885147656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05514714932611515,0.0,0.0,0.0,0.0,0.0,0.00746814634741752,0.0
weed,0.014825322098034294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013025097140437071,0.014048053877165652,0.0,0.0,0.0,0.0,0.0,0.002793231541042468,0.0
moss,0.01879326117838549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017702975317038138,0.0,0.0,0.0,0.0,0.0,0.0024330824330282418,0.0
stocking,0.0014959183128664337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015670658709875317,0.0,0.0,0.0,0.0,0.0,0.00020419894559026437,0.0
oven,0.0009099249841111444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008988282283361773,0.0,0.0,0.0,0.0,0.0,0.00012058354749648811,0.0
radish,0.011362791374096702,0.0,0.0,0.0,0.0,0.0,0.0,0.014579874802321393,0.01590864729468545,0.01184490033216724,0.0,0.0,0.016330579672091897,0.0,0.0,0.0046684528983575125,0.0
dress,0.021667318949431212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02090110237865625,0.0,0.0,0.0,0.0,0.0,0.0028378947552058307,0.0
agenda,0.004932891165649409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005696930905602609,0.0,0.0,0.0,0.0007086548047501346,0.0
rhubarb,0.00681330362335551,0.0,0.0,0.0,0.0,0.0,0.0,0.008002944352107345,0.008039487212917772,0.006460147994749617,0.0,0.0,0.007081273625836721,0.0,0.0,0.0024264771205977976,0.0
kingfisher,0.007123468091175922,0.0,0.0,0.0,0.006480464173144092,0.0,0.0057163659393700125,0.0,0.0,0.006240156650844377,0.0,0.0,0.0,0.0,0.0,0.001704030323635627,0.0
ring,0.007033144529073108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613555662053284,0.0,0.0,0.0,0.0,0.0,0.0009097800127417595,0.0
cilantro,0.017966626089252428,0.0,0.0,0.0,0.0,0.0,0.0,0.023185617159574807,0.022490594808202417,0.017808549980387212,0.0,0.0,0.0,0.0,0.0,0.005430092535827791,0.0
insect,0.0031804054114382765,0.0,0.0,0.0,0.0,0.0,0.00372660733120018,0.0,0.0,0.0032270845044519553,0.0,0.0,0.0,0.0,0.0,0.0006756064831393608,0.0
blackberry,0.0012426758092364417,0.0,0.0,0.0,0.0,0.0,0.0,0.0011373959183129737,0.0010644606074498757,0.0011275500638441949,0.0012380724218935943,0.0,0.0,0.0,0.0,0.00038734365471580534,0.0
olive,0.05020127262738733,0.0533413799797549,0.0,0.0,0.0,0.0,0.0,0.056204963476300496,0.05426491580339485,0.048814806500609355,0.0581576342476075,0.0,0.0,0.0,0.0,0.021398998175670297,0.0
chutney,0.015200680822482441,0.0,0.0,0.0,0.0,0.0,0.0,0.02073310537555173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002395585746535611,0.0
apple,0.012213467715753034,0.0,0.0,0.0,0.0,0.0,0.0,0.012080067748626242,0.011181815452324021,0.011661832964180122,0.013085653935747019,0.0,0.0,0.0,0.0,0.00401485585444203,0.0
grass,0.03854686732118061,0.0,0.0,0.0,0.0,0.0,0.0,0.03856638767666055,0.04245170230512005,0.038669208823658846,0.0,0.0,0.0,0.0,0.0,0.010548944408441337,0.0
pepper,0.027345339836645218,0.0,0.0,0.0,0.0,0.0,0.0,0.03161413626619679,0.02950722666226285,0.02672276233655671,0.0,0.0,0.027324626998454355,0.0,0.0,0.009500939473341062,0.0
watermelon,0.013374553160231803,0.0,0.0,0.0,0.0,0.0,0.0,0.016108452824505726,0.01617078823173887,0.013130119118959522,0.016574806816609243,0.0,0.0,0.0,0.0,0.005023914676803011,0.0
bra,0.0019246427707593345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017827503026464678,0.0,0.0,0.0,0.0,0.0,0.00024715953822705347,0.0
pine,0.013319236656793682,0.01489189606675477,0.0,0.0,0.0,0.0,0.0,0.0,0.013496661243929434,0.013000224280902379,0.0,0.0,0.0,0.0,0.0,0.003647201216558684,0.0
salad,0.05636543031700341,0.0,0.0,0.0,0.0,0.0,0.0,0.06675028147716086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008207714119610953,0.0
crab,0.0032835479291644276,0.0,0.0,0.0,0.0,0.0,0.0030559584295477616,0.0037475828157983487,0.0,0.0031997309167273945,0.0,0.0,0.0,0.0,0.0,0.0008857880060825289,0.0
eye,0.004227537177506249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004041107665439791,0.0,0.0,0.0,0.0,0.0,0.0005512429895297361,0.0
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.01008822098807491,0.010259115568348345,0.0,0.0,0.0,0.0,0.0,0.00991652288835268,0.0,0.009661220602730025,0.0,0.0,0.0,0.0,0.0,0.0026616720031670637,0.0
melon,0.023960074970740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0270452704015511,0.028639707818509896,0.024734343792075463,0.03238988356695603,0.0,0.0,0.0,0.0,0.0091179520366555,0.0
