,all,relation,weapon,mammal,no-cat,animal,object,communication,vehicle,measure,tool,mean,median
bucket,0.002563253493629867,0.0,0.0,0.0,0.0,0.0,0.0025470039780946564,0.0,0.0,0.002206680717801526,0.0,0.0006651761990478227,0.0
glass,0.0028080186952044272,0.0,0.0,0.0,0.0,0.0,0.0027879778360092107,0.0,0.0,0.0024103203730920595,0.0,0.000727846991300518,0.0
marble,0.008774824328057368,0.010450875800429492,0.0,0.0,0.0,0.0,0.008586146243745789,0.0,0.0,0.0,0.0,0.0025283496702029683,0.0
pipe,0.003627855576880693,0.0,0.0,0.0,0.0,0.0,0.003594561352134695,0.0,0.0,0.0,0.0,0.0006565833571832171,0.0
skateboard,0.005393974695893252,0.0,0.0,0.0,0.0,0.0,0.00538759103876044,0.0,0.006633377574186895,0.0,0.0,0.0015831766644400535,0.0
nozzle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
washer,0.0011710464283224268,0.0,0.0,0.0,0.0,0.0,0.0011495266572286347,0.0,0.0,0.0,0.0,0.00021096118959555103,0.0
cylinder,0.0010701190940607115,0.0,0.0,0.0,0.0,0.0,0.0010580667651014337,0.0,0.0,0.0,0.0,0.0001934714417420132,0.0
bead,0.0048736956695130465,0.0,0.0,0.0,0.0,0.0,0.0048123666271375895,0.0,0.0,0.0,0.0,0.0008805511178773307,0.0
wagon,0.004087708557710927,0.0,0.0,0.0,0.0,0.0,0.00402431375635669,0.0,0.005252557100589754,0.0,0.0,0.0012149617649688518,0.0
barrel,0.000227605437758029,0.0,0.0,0.0,0.0,0.0,0.000221546543599951,0.0,0.0,0.00024043183155628077,0.0,6.268943753766007e-05,0.0
pig,0.0021443649941140803,0.0,0.0,0.0024908405460029428,0.0,0.0026156760034628745,0.002156395063423564,0.0,0.0,0.0,0.0,0.0008552069642730419,0.0
rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.004548167406801693,0.0,0.0,0.0,0.0,0.0,0.004553906315814485,0.0,0.00569132534975138,0.0,0.0,0.0013448544611243235,0.0
millstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spindle,0.04295104102669999,0.0511388499392338,0.0,0.0,0.0,0.0,0.04224687821954798,0.0,0.0,0.0,0.0,0.012394251744134705,0.0
shaft,0.002223060411205826,0.0,0.00241272547462406,0.0,0.0,0.0,0.002228839713493401,0.0026585348408661945,0.0,0.0,0.0,0.0008657418581990438,0.0
tub,0.0019339760294233277,0.0,0.0,0.0,0.0,0.0,0.001930111517659755,0.0,0.0,0.0017646700560151802,0.0,0.0005117052366452967,0.0
axle,0.010148187025060366,0.0,0.0,0.0,0.0,0.0,0.010123346541749245,0.0,0.0,0.0,0.0,0.001842866687891783,0.0
candle,0.00843765543502025,0.0,0.0,0.0,0.0,0.0,0.008237601525057483,0.0,0.0,0.006559041838118111,0.0,0.0021122089816541676,0.0
lever,0.0005975372818781761,0.0,0.0,0.0,0.0,0.0,0.0006064702234009925,0.0,0.0,0.0,0.0,0.00010945522775265169,0.0
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0014201405503090547,0.0,0.0,0.0,0.0,0.0,0.0014256462254295399,0.0,0.0015076814033524782,0.0,0.0,0.0003957698344628248,0.0
rifling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paint,0.004396859112401664,0.00522762126280094,0.0,0.0,0.0,0.0,0.004306768641144013,0.0,0.0,0.0,0.0,0.0012664771833042377,0.0
wheel,0.007934288953660436,0.0,0.0,0.0,0.0,0.0,0.007875132771731675,0.0,0.009632941665758293,0.0,0.0,0.002312942126468219,0.0
grindstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0039648316837020865,0.0,0.0,0.0,0.0,0.0,0.003908547346622698,0.0,0.0,0.003760795371504366,0.0,0.0010576522183481046,0.0
tire,0.0015010155215746503,0.0,0.0,0.0,0.0,0.0,0.0014810813551058817,0.0,0.0,0.0,0.0,0.00027109971606186655,0.0
propeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flywheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
