,animal,communication,measure,weapon,vehicle,all,object,no-cat,mammal,relation,tool,mean
pig,0.0020925408027702994,0.0,0.0,0.0,0.0,0.00155359994363326,0.0016072512181886608,0.0,0.001992672436802354,0.0,0.0,0.0006587331273995067
rail,0.00210798295730706,0.0,0.0,0.0,0.0,0.0019246601425153222,0.001974739432913267,0.0022067686124548004,0.0,0.0,0.0,0.0007467410131991318
roller,0.0023324081281580044,0.0,0.0,0.0,0.0,0.0019290202544225128,0.0019293248793291879,0.0024650785294368493,0.0,0.0,0.0,0.000786893799213323
pen,0.00022840901289824443,0.0,0.0,0.0,0.0,0.00020342124376274406,0.00020535914461086146,0.00018927642755188625,0.0,0.0,0.0,7.51332571657942e-05
donkey,0.0011203482924130198,0.0,0.0,0.0,0.0,0.0009671746915978382,0.0009511473550975615,0.0,0.0013113500434758178,0.0,0.0,0.00039545639841674884
windowpane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.0,0.008861782802887316,0.0,0.008042418248746866,0.0,0.006710896036477494,0.0069218634945849315,0.0,0.0,0.0,0.0,0.002776087325699692
saw,0.0,0.0026654810738463383,0.0,0.0,0.0,0.0020270597706529706,0.00207451640786345,0.0,0.0,0.0,0.0023126110951198673,0.0008254243952256934
plastic,0.0,0.004998562910210865,0.0,0.0,0.0,0.00396587744873099,0.0,0.0,0.0,0.004129179813014411,0.0,0.001190329106541479
peg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.015446765024610681,0.0,0.0,0.016249503617074546,0.01661089798184593,0.0,0.0,0.0,0.0,0.004391560602139196
glass,0.0,0.0,0.0030129004663650744,0.0,0.0,0.0031787802701536702,0.003246869081133431,0.0,0.0,0.0,0.0,0.0008580499834229251
barrel,0.0,0.0,8.014394385209359e-05,0.0,0.0,6.870872345311452e-05,6.880328465129487e-05,0.0,0.0,0.0,0.0,1.9786904723318452e-05
tub,0.0,0.0,0.0008823350280075901,0.0,0.0,0.0008757327514635295,0.0008991204060358645,0.0,0.0,0.0,0.0,0.00024156256231881672
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0008058847224652212,0.0,0.0,0.0007694288657076343,0.0007803223459559048,0.0,0.0,0.0,0.0,0.00021414872128443276
nut,0.0,0.0,0.0026806919640971847,0.0,0.0,0.002021752786440703,0.0019651827859337714,0.002593355112204088,0.0,0.0,0.0,0.000841907513515977
shovel,0.0,0.0,0.011280661174239114,0.0,0.0,0.009449737273137257,0.009284984221250858,0.0,0.0,0.0,0.012367480159926825,0.00385298752986855
ball,0.0,0.0,0.0,0.0013998309734583154,0.0,0.0011897913920086067,0.001224305460801091,0.0,0.0,0.0,0.0,0.0003467207114789103
blade,0.0,0.0,0.0,0.004800900193004543,0.0,0.003824235767779194,0.0037512198175045364,0.004732777265880271,0.0,0.0,0.005809455055600185,0.0020835080090698846
projectile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,0.17910119450304618,0.1318934321906042,0.13552637860155375,0.0,0.0,0.0,0.0,0.04059281866320038
wagon,0.0,0.0,0.0,0.0,0.12693679659758575,0.0894637662092135,0.09060956234930599,0.0,0.0,0.0,0.0,0.02791001137782775
wheelbarrow,0.0,0.0,0.0,0.0,0.027337736397773912,0.0235819976255041,0.023582020653686194,0.0,0.0,0.0,0.0,0.006772886788814928
car,0.0,0.0,0.0,0.0,0.02520444083461325,0.018241082028058006,0.01878941217438906,0.0,0.0,0.0,0.0,0.005657721367005483
bike,0.0,0.0,0.0,0.0,0.036184353680459476,0.03086690397811182,0.031877808543437816,0.0,0.0,0.0,0.0,0.00899355147290992
wheel,0.0,0.0,0.0,0.0,0.025152681016146657,0.01876220454979112,0.01915793454272514,0.0,0.0,0.0,0.0,0.005733892737151174
cart,0.0,0.0,0.0,0.0,0.044990839956117544,0.0314376402637847,0.032168532292935495,0.0,0.0,0.0,0.0,0.009872455682985249
marble,0.0,0.0,0.0,0.0,0.0,0.0005297825781711904,0.0005333010883102023,0.0,0.0,0.0005861070794258914,0.0,0.00014992643144611675
pipe,0.0,0.0,0.0,0.0,0.0,0.001825273654963762,0.001860539279081472,0.0,0.0,0.0,0.0,0.00033507390309502126
nozzle,0.0,0.0,0.0,0.0,0.0,0.006972893199067816,0.0071021527235026185,0.0,0.0,0.0,0.0,0.001279549629324585
washer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cylinder,0.0,0.0,0.0,0.0,0.0,0.002422828216011762,0.002464441589894593,0.0,0.0,0.0,0.0,0.0004442972550823959
bead,0.0,0.0,0.0,0.0,0.0,0.008827523926925186,0.00896714411824602,0.0,0.0,0.0,0.0,0.0016176970950155642
tyre,0.0,0.0,0.0,0.0,0.0,0.002455398382212921,0.0025394027173409623,0.0,0.0,0.0,0.0,0.00045407282723217124
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spindle,0.0,0.0,0.0,0.0,0.0,0.025931816295744915,0.026240300936645186,0.0,0.0,0.028679741827810714,0.0,0.007350169005472801
axle,0.0,0.0,0.0,0.0,0.0,0.07168587093407351,0.07356718768244595,0.0,0.0,0.0,0.0,0.013204823510592678
lever,0.0,0.0,0.0,0.0,0.0,0.0010822946303367493,0.0011300689074673184,0.0,0.0,0.0,0.0,0.000201123957982188
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.016564468590892886,0.016808497895926422,0.0,0.0,0.0,0.0,0.003033906044256301
rifling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paint,0.0,0.0,0.0,0.0,0.0,0.006153883735818142,0.006201164127401132,0.0,0.0,0.006796352432296573,0.0,0.0017410363905014407
grindstone,0.0,0.0,0.0,0.0,0.0,0.004367465307945032,0.0045090777135242495,0.0,0.0,0.0,0.0,0.0008069584564972074
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tire,0.0,0.0,0.0,0.0,0.0,0.008428055242399172,0.00855531593338757,0.0,0.0,0.0,0.0,0.0015439428341624312
propeller,0.0,0.0,0.0,0.0,0.0,0.010353845267842528,0.010627312762606938,0.0,0.0,0.0,0.0,0.0019073780027681333
flywheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloth,0.0,0.0,0.0,0.0,0.0,0.005788029604365795,0.005858109777867919,0.0,0.0,0.0,0.0,0.0010587399438394284
grip,0.0,0.0,0.0,0.0,0.0,0.012567686237246307,0.012804835064047308,0.0,0.0,0.0,0.0,0.002306592845572147
sprocket,0.0,0.0,0.0,0.0,0.0,0.01536692256052343,0.015872409203089202,0.0,0.0,0.0,0.0,0.0028399392512375122
bearing,0.0,0.0,0.0,0.0,0.0,0.0020133459057629505,0.002023142673344483,0.0,0.0,0.0021924057230317743,0.0,0.0005662631183762916
lathe,0.0,0.0,0.0,0.0,0.0,0.009595988425810163,0.009798489793916688,0.0,0.0,0.0,0.0,0.0017631343836115318
windscreen,0.0,0.0,0.0,0.0,0.0,0.007205937732816028,0.007518811601852843,0.0,0.0,0.0,0.0,0.0013386135758789884
hubcap,0.0,0.0,0.0,0.0,0.0,0.04616640720775025,0.046886400074773536,0.0,0.0,0.0,0.0,0.008459346116593072
wiffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolt,0.0,0.0,0.0,0.0,0.0,0.0016408367132800378,0.0017163603050902206,0.0,0.0,0.0,0.0,0.00030519972894275075
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,0.0,0.0,0.0,0.0,0.0,0.0013719936472743907,0.0013403980961941464,0.0,0.0,0.0,0.0,0.0002465810675880489
hammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pencil,0.0,0.0,0.0,0.0,0.0,0.0008741827362878709,0.000857327616808793,0.0,0.0,0.0010475104906193646,0.0,0.000252638258519639
