,weapon,vegetable,cutlery,mammal,animal,no-cat,tool,bird,all,communication,relation,used_in_cooking,object,food,plant,measure,vehicle,mean
knife,0.004812007064188551,0.0,0.0051285621621041146,0.0,0.0,0.0,0.005909313900839464,0.0,0.005690926321541274,0.0,0.0,0.0,0.005697906763983003,0.0,0.0,0.0,0.0,0.0016022774242739064
blade,0.0006137323264336119,0.0,0.0,0.0,0.0,0.0,0.0007414419997702024,0.0,0.0007180858252033699,0.0,0.0,0.0,0.0007187576722027559,0.0,0.0,0.0,0.0,0.00016423634256529056
hatchet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lance,0.0004860477623284957,0.0,0.00035109120984585254,0.0,0.0,0.0,0.0003806375988494175,0.0,0.0003582047781155528,0.0,0.0,0.0,0.0003847747291686028,0.0,0.0,0.0,0.0,0.00011533859284164243
lettuce,0.0,0.0029543701474086894,0.0,0.0,0.0,0.0,0.0,0.0,0.0022153310934650934,0.0,0.0,0.0,0.0022201582582559087,0.0031673697810826107,0.0029543701474086894,0.002151094663236543,0.0,0.0009213349465210315
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.0,0.001013824873259993,0.0,0.0,0.0,0.0,0.0,0.0,0.0007866366527277947,0.0,0.0,0.0,0.0007855559702503971,0.0,0.001013824873259993,0.0,0.0,0.00021175543349989282
cabbage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mustard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asparagus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable,0.0,0.001397004513543297,0.0,0.0,0.0,0.0,0.0,0.0,0.0012779999169982587,0.0,0.0,0.0,0.0012768986314818688,0.0014422871977128957,0.001397004513543297,0.0,0.0,0.0003994820454870363
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0,0.0011342891917389432,0.0,0.0,0.0,0.0,0.0,0.0,0.0008313199667414971,0.0,0.0,0.0,0.0008296400642673268,0.0011861206017700968,0.0011342891917389432,0.0,0.0,0.0003009211186033416
cauliflower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pimento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pigweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0,0.0,0.00039867333321716176,0.0,0.0,0.0,0.00047729157826818564,0.0,0.0004591823796359015,0.0,0.0,0.0,0.00045933926802413616,0.0,0.0,0.0,0.0,0.000105558032890905
tablespoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleaver,0.0,0.0,0.003627342555184402,0.0,0.0,0.0,0.003997554821018453,0.0,0.003912005637430635,0.0,0.0,0.0,0.0039073175379295815,0.0,0.0,0.0,0.0,0.0009084835618566513
cutlery,0.0,0.0,0.005521290509996152,0.0,0.0,0.0,0.006613485603910537,0.0,0.006385802774561224,0.0,0.0,0.0,0.006508565019641845,0.0,0.0,0.0,0.0,0.0014723025828299856
slicer,0.0,0.0,0.019519875555949327,0.0,0.0,0.0,0.02583357175802399,0.0,0.030640767890519192,0.0,0.0,0.0,0.030627918977180292,0.0,0.0,0.0,0.0,0.006271890245980753
cutter,0.0,0.0,0.0044234487579066905,0.0,0.0,0.0,0.005575350749577032,0.0,0.005471355620432643,0.0,0.0,0.0,0.005469495173460681,0.0,0.0,0.0,0.005361363809267834,0.0015471184770967576
parer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spoon,0.0,0.0,0.0020768681453123003,0.0,0.0,0.0,0.0,0.0,0.002458649889725185,0.0,0.0,0.0,0.0024637474209198698,0.0,0.0,0.0017751609649705,0.0,0.0005161427306428151
pickaxe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackknife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mattock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switchblade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penknife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axe,0.0,0.0,0.0004600185331940183,0.0,0.0,0.0,0.0004702802881400029,0.0,0.00037840028170647687,0.0,0.0,0.0,0.00040900420822020646,0.0,0.0,0.0,0.0,0.00010104137125062967
sickle,0.0,0.0,0.0009933025120369933,0.0,0.0,0.0,0.0010060617503552065,0.0,0.0010038956682269426,0.0,0.0,0.0,0.001109705232035879,0.0,0.0,0.0,0.0,0.0002419391272150013
scythe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
