,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,object,bird,yellow,vehicle,food,all,mean
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.003285890393054558,0.0,0.0,0.0,0.003010823316460051,0.0,0.0,0.0,0.0,0.003122767785720942,0.0,0.0,0.0,0.0,0.003145622916325023,0.0008376736274373716
hornet,0.0046623965059997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037935782830541705,0.0,0.0,0.0,0.0,0.003881795783756468,0.0008225180381873573
goldfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee,0.1387136052305741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165219284122993,0.0,0.0,0.0,0.0,0.12546509554492163,0.025380041945853006
cheetah,0.0023289660263882952,0.0,0.0,0.0,0.00241954886238549,0.0,0.0,0.0,0.0,0.0018523882872647278,0.0,0.0,0.0,0.0,0.002039050314633264,0.0005759968993781184
lion,0.005788888009835351,0.0,0.0,0.0,0.005661938724925702,0.0,0.0,0.0,0.0,0.00459112835483439,0.0,0.0,0.0,0.0,0.004715795849288911,0.0013838500625922903
locust,0.16373993681277094,0.0,0.0,0.1404852932982409,0.0,0.0,0.0,0.1604119718390966,0.0,0.16816355401032548,0.0,0.0,0.0,0.0,0.16918389690797517,0.05346564352456061
wasp,0.013666825263894525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148118285730007,0.0,0.0,0.0,0.0,0.011951661922980006,0.002473311336278307
fox,0.0014058191422833646,0.0,0.0,0.0,0.0013994038261531008,0.0,0.0,0.0013235480409203863,0.0,0.0013608116054341498,0.0,0.0,0.0,0.0,0.0013331580797955993,0.0004548493796391067
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skunk,0.003066784864156703,0.0,0.0,0.0,0.003403862614852832,0.0,0.0,0.0,0.0,0.0025677314982911256,0.0,0.0,0.0,0.0,0.0024409788976704535,0.0007652905249980743
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0016470089482613767,0.0,0.0,0.0,0.0,0.0023062914764514744,0.0,0.0015188215605266946,0.0,0.001463119316490354,0.0,0.0,0.0,0.0,0.0014074662278308354,0.0005561805019707156
kingfisher,0.0014388417007217074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013460733514492438,0.0025862684223308405,0.0,0.0,0.0,0.0013187813610949738,0.00044599765570645106
insect,0.010843277202505108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009557134870883012,0.0,0.0,0.0,0.0,0.009074535843701288,0.0019649965278059605
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.0002560838755350323,0.0,0.0,0.0,0.00025380001517799156,0.0,0.0,0.0,0.0,0.0002331516381201561,0.0,0.0,0.0,0.0,0.00022902529976073335,6.480405523959423e-05
frog,0.0007879031731648144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006668643697739185,0.0,0.0,0.0,0.0,0.0006500335160020957,0.00014032007059605524
lobster,0.0012508242031062323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013146240707387006,0.0,0.0,0.0,0.0011832210171826786,0.0012816213938593622,0.0003353527123257982
sheep,0.0026446886625423726,0.0,0.0,0.0,0.0026957447340611373,0.0,0.0,0.0,0.0,0.0024416456344381957,0.0,0.0,0.0,0.0,0.0023419394098850767,0.0006749345627284522
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.000761770276266583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006456500793399697,0.0014515576750940967,0.0,0.0,0.0,0.0006548012429201534,0.0002342519515747202
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0016446430564434453,0.0,0.0,0.0,0.0021505537301246625,0.0,0.0,0.0,0.0,0.0013372871781874227,0.0,0.0,0.0,0.0,0.0012547817858350044,0.0004258177167060357
dog,0.004013334881268362,0.0,0.0,0.0,0.004083050488781433,0.0055107750179417,0.0,0.0,0.0,0.003803080668906334,0.0,0.0,0.0,0.0031429960413379117,0.0036806356525424873,0.0016155915167185484
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.0,0.007285207803244802,0.0,0.006294110630241076,0.0,0.0,0.0,0.0,0.0,0.006349134820909298,0.0,0.0,0.0,0.006322769029252451,0.006486391974978172,0.00218250761724172
lemon,0.0,0.0394212124505128,0.0,0.03572540770579843,0.0,0.0,0.0,0.0,0.0,0.03690493149796635,0.0,0.0,0.0,0.03855988124961603,0.03750204862819607,0.012540898768805979
banana,0.0,0.010622072809800034,0.0,0.00989775136352307,0.0,0.0,0.0,0.0,0.0,0.010095513122327373,0.0,0.0,0.0,0.009853250726994419,0.010323041886043544,0.003386108660579229
apple,0.0,0.0062980403025446165,0.0,0.005793345522604825,0.0,0.0,0.0,0.0,0.0,0.006594879348147852,0.0,0.0,0.0,0.005760263903461311,0.006668516657415141,0.0020743363822782494
pineapple,0.0,0.013188893298642694,0.0,0.012180296593455731,0.0,0.0,0.0,0.0,0.0,0.012286627534575677,0.0,0.0,0.0,0.012273990149672603,0.012624541133618404,0.004170289913997673
peach,0.0,0.01458213313499447,0.0,0.012558165934718358,0.0,0.015329699074397908,0.0,0.0,0.0,0.013367843539182935,0.0,0.0,0.0,0.013005234377779283,0.01364199184330689,0.0054990045269586564
grapefruit,0.0,0.011557814413202194,0.0,0.011031854924951807,0.0,0.0,0.0,0.0,0.0,0.01025631199430245,0.0,0.0,0.0,0.011474803766870314,0.010371070841026899,0.0036461237293569106
corn,0.0,0.009702152453593774,0.0,0.009123574098048738,0.0,0.0,0.0,0.008961651912296533,0.0,0.008999509560559546,0.0,0.0,0.0,0.009593291289805623,0.00925782961437334,0.0037092005952451697
guava,0.0,0.004449057290972017,0.0,0.004121151574189485,0.0,0.0,0.0,0.0,0.0,0.0036598448776622985,0.0,0.0,0.0,0.0037544272333966864,0.003506034107498577,0.0012993676722479375
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berry,0.0,0.002148169299516975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022745307230270942,0.0,0.0,0.0,0.0019485279155115587,0.0022250619455766694,0.0005730859922421532
pecan,0.0,0.00499582776087423,0.0,0.004664141385218094,0.0,0.0,0.0,0.0043783871116042945,0.0,0.004558939786468451,0.0,0.0,0.0,0.0,0.0046181928546398425,0.0015476992599203273
cherry,0.0,0.004020020427387677,0.0,0.003915497561734191,0.0,0.0,0.0,0.0035026467171251296,0.0,0.003689685982751901,0.0,0.0,0.0,0.0034099701871760928,0.003542829344034604,0.001472043348013973
orange,0.0,0.004596711240205326,0.0,0.004801760214226402,0.0,0.0,0.0,0.004498487674922243,0.0,0.004821076074744988,0.0,0.0,0.0,0.004243299526333265,0.004737429661978397,0.0018465842928273746
walnut,0.0,0.0026375594434104315,0.0,0.002555962822306794,0.0,0.0,0.0,0.0023644094941759407,0.0,0.002540577755445761,0.0,0.0,0.0,0.0,0.0024419400936077492,0.0008360299739297785
pistachio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huckleberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,0.0,0.003919931274118291,0.0,0.003966949824432513,0.0,0.005323174884323638,0.0,0.0,0.0,0.0036659650736228615,0.0,0.0,0.0,0.003674320397325305,0.0036579441542688696,0.0016138857072060986
serviceberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime,0.0,0.004968017740140545,0.0,0.00500866931558104,0.0,0.0,0.0,0.005591270084349612,0.0,0.005142386311693284,0.0,0.0,0.0,0.004776626656918884,0.004986325239117355,0.0020315530231867144
bean,0.0,0.0012287150733577416,0.0015575465508303617,0.0012215295984368394,0.0,0.0,0.0,0.0,0.0,0.0011736406721197681,0.0,0.0,0.0,0.0011425907902313393,0.0011491260118460704,0.0004982099131214747
pawpaw,0.0,0.03013156546693651,0.0,0.028514279729862535,0.0,0.0,0.0,0.0,0.0,0.026587877520296614,0.0,0.0,0.0,0.024507549267107197,0.02502050830148897,0.008984118685712788
mustard,0.0,0.0,0.049442743378839527,0.042726458076792845,0.0,0.0,0.0,0.0,0.0,0.04651743761829715,0.0,0.0,0.0,0.04583318801878756,0.04848651234325602,0.015533755962398206
spinach,0.0,0.0,0.0040608348235699416,0.003033914952365923,0.0,0.0,0.0,0.0,0.0,0.0029743011614247004,0.0,0.0,0.0,0.00276684758621183,0.0028771135239815436,0.001047534136503596
pigweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.0054698226115134675,0.004900018355895795,0.0,0.0,0.0,0.0,0.0,0.0046524351688720135,0.0,0.0,0.0,0.004356844031242693,0.0045786028480333365,0.001597181534370487
