,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,object,bird,yellow,vehicle,food,all,mean
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goldfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee,0.00016011360084943705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001297269757615974,0.0,0.0,0.0,0.0,0.00013875465711097538,2.8573015581467322e-05
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lion,0.008477745371187667,0.0,0.0,0.0,0.008898928804032862,0.0,0.0,0.0,0.0,0.006485121545309312,0.0,0.0,0.0,0.0,0.006616917166583107,0.0020319141924741964
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.001570204097293453,0.0,0.0,0.0,0.0014095034390321816,0.0,0.0,0.0009672422029063012,0.0,0.0011157783376087057,0.0,0.0,0.0,0.0,0.0010516582384981965,0.00040762575435592256
herring,0.001370032060959128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001640230510025898,0.0010515797512534316,0.0,0.0,0.0,0.0008525664191656348,0.001001073890341925,0.00039436550878306785
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.016874424448854453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011588786092070846,0.018103878956315884,0.0,0.0,0.0,0.010923330619241623,0.0038326946744321874
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.00021452116697748958,0.0,0.0,0.0,0.0001917237831215535,0.0,0.0,0.0,0.0,0.00014337705499806758,0.0,0.0,0.0,0.0,0.0001354995031917872,4.567476721925986e-05
frog,0.0033001278940239407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002050447729902975,0.0,0.0,0.0,0.0,0.0019229145986996304,0.000484899348175103
lobster,0.0020956279826164223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016168612771654497,0.0,0.0,0.0,0.0012508520537469312,0.0015165054893877138,0.00043198978686110115
sheep,0.0006816777354629636,0.0,0.0,0.0,0.0006265846491310466,0.0,0.0,0.0,0.0,0.0004619983843822219,0.0,0.0,0.0,0.0,0.0004263306306215843,0.00014643942663985444
