,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
toy,0.0018092543179278647,0.0016429094404713741,0.0,0.0,0.0016755728539545878,0.0,0.0,0.0,0.001671385382419755,0.0,0.0,0.0,0.0005665934995644651
seal,0.0020626789384333693,0.0015388098393023443,0.0,0.0,0.0015318471519222153,0.0017396597568377652,0.0016868614989834843,0.0,0.0015045494452284379,0.0,0.0,0.0,0.000838700552558968
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.001936058315529622,0.0014494136290672548,0.0,0.0,0.001388062597546355,0.0,0.0,0.0,0.0013708423655480594,0.0,0.0,0.0,0.0005120314089742743
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemur,0.0020626158377395802,0.0015397186282838982,0.0,0.0,0.0014101204006967433,0.0,0.0,0.0,0.001355333028155048,0.0,0.0,0.0,0.0005306489912396058
hog,0.002587089461429866,0.002223900878744514,0.0,0.0,0.0021759836636926263,0.0,0.0,0.0,0.0021176331231841728,0.0,0.0,0.0,0.0007587172605875983
roebuck,0.0027644981338101017,0.0016752908720296905,0.0,0.0,0.0016853942675532565,0.0,0.0,0.0,0.0016312845594509866,0.0,0.0,0.0,0.0006463723194036695
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.0033097538753645707,0.0020838260205654586,0.0,0.0,0.0021314808427840334,0.0,0.0,0.0,0.0020659224778270566,0.0,0.0,0.0,0.0007992486013784266
silverback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0028082674127281053,0.0019291828565205162,0.0,0.0,0.0021157336940995945,0.0,0.0,0.003254692924943554,0.0020628753312106327,0.0,0.0,0.0,0.0010142293516252003
buffalo,0.0028854293413336984,0.001954996461720267,0.0,0.0,0.001994034904771565,0.0,0.0,0.0,0.0019411826916786719,0.0019938755527363606,0.0,0.0,0.0008974599126867137
stallion,0.0015776398485502071,0.0013193983843686808,0.0,0.0,0.0012218731444621617,0.0,0.0,0.0,0.001180355917570246,0.0,0.0,0.0,0.000441605607912608
watchdog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bobcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.005808875367699758,0.0046434829528018,0.0,0.0,0.004631305143363727,0.0,0.0,0.0,0.004549052090619311,0.0,0.0,0.0,0.001636059629540383
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangabey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zebra,0.001669075245265049,0.0011631877417257362,0.0,0.0,0.0010720043518003776,0.0,0.0,0.0,0.0010401403692376814,0.0,0.0,0.0,0.00041203397566907035
stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
