,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
toy,0.0024871071742408315,0.0026030337819429455,0.0,0.0,0.002477354829480593,0.0,0.0,0.0,0.0025026241609600527,0.0,0.0,0.0,0.0008391766622187019
seal,0.0036096881422583963,0.002395402261410131,0.0,0.0,0.002508736720634865,0.003044404574466089,0.003801247294162799,0.0,0.002453284842186697,0.0,0.0,0.0,0.0014843969862599147
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.001936058315529622,0.001289281623874219,0.0,0.0,0.001299004502835366,0.0,0.0,0.0,0.0012772943163785638,0.0,0.0,0.0,0.0004834698965514809
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.0003008867159422337,0.00016850943542627496,0.0,0.0,0.00018133863948067728,0.0,0.0,0.0,0.00017499466057083397,0.0,0.0,0.0,6.8810787618335e-05
silverback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.003931574377819347,0.002402463960993655,0.0,0.0,0.002771983511703067,0.0,0.0,0.0032420371510000533,0.002690942885223166,0.0,0.0,0.0,0.001253250157228274
buffalo,0.001573870549818381,0.0009485494857256457,0.0,0.0,0.001017871433184338,0.0,0.0,0.0,0.0009865712093715567,0.0009594515779511319,0.0,0.0,0.00045719285467092104
stallion,0.0023664597728253107,0.0017604458010691247,0.0,0.0,0.0017152166473136487,0.0,0.0,0.0,0.0016497103635400709,0.0,0.0,0.0,0.0006243193820623463
watchdog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bobcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0019362917892332527,0.0013768228111375937,0.0,0.0,0.0014447202035096887,0.0,0.0,0.0,0.0014128729717062338,0.0,0.0,0.0,0.0005142256479655641
armadillo,0.0037301439649698323,0.002637687767780426,0.0,0.0,0.002679582085582011,0.0,0.0,0.0,0.0026263020574987866,0.0,0.0,0.0,0.0009728096563192548
mangabey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zebra,0.001669075245265049,0.0010346781280702,0.0,0.0,0.0010032245537840692,0.0,0.0,0.0,0.0009691598503610839,0.0,0.0,0.0,0.0003896781481233668
