,all,criminal,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,female,mean
ballerina,0.0,,,,,0.0,,,,,,,,0.0
girlfriend,0.008760954582753796,,,,,0.008767814256200537,,,,,,,0.006832705851568029,0.008120491563507455
actress,0.004139075235230454,,,,,0.004137297653651436,,,,,,,,0.004138186444440944
hostess,0.0,,,,,0.0,,,,,,,,0.0
sow,0.0012634801521197185,,0.0010068742390148858,,,0.0012661290292942046,0.0010373470250437747,,,,,,,0.0011434576113681458
vixen,0.05799264165319533,,0.04628384659425126,,,0.058071491005523064,0.04541682578723595,,,,,,,0.0519412012600514
madam,0.0,,,,,0.0,,,,,,,0.0,0.0
enchantress,0.0,,,,,0.0,,,,,,,0.0,0.0
vamp,0.0,,,0.0,,0.0,,,,,0.0,,0.0,0.0
miss,0.0026938017325609438,,,,,0.002688172147430039,,,,,,,0.0025882920371233377,0.002656755305704774
courtesan,0.0,,,,,0.0,,,,,,,0.0,0.0
woman,0.06262477751048101,,,,,0.0627029347661051,,,,,,,0.049744748939175354,0.05835748707192049
skirt,0.0026131310409775463,,,,,0.002610402062670004,,,,,,,0.002464427074781214,0.002562653392809588
comedienne,0.0,,,,,0.0,,,,,,,,0.0
duchess,0.0009085145854544333,,,,,0.00091320459936919,,,,,,,,0.0009108595924118116
stepdaughter,0.0,,,,,0.0,,,,,,,,0.0
siren,0.0,,0.0,0.0,,0.0,,,,,,,0.0,0.0
bachelorette,0.0,,,,,0.0,,,,,,,0.0,0.0
wife,0.008380682943996494,,,,,0.008394607422517662,,,,,,,0.00663277174151826,0.007802687369344139
nun,0.0017539756873289655,,,0.0,,0.0017579850297796764,,,,,,,,0.0011706535723695474
godmother,0.0,,,,,0.0,,,,,,,,0.0
amazon,0.00040818186832695697,,0.00037061637906103055,,0.0,0.0004045570949028746,,,,,,,0.000480150012706116,0.0003327010709993956
maid,0.0,,,,,0.0,,,,,,,0.0,0.0
spokeswoman,0.0024354130507190466,,,,,0.0024360605052869996,,,,,,,,0.002435736778003023
tomboy,0.0,,,,,0.0,,,,,,,0.0,0.0
doll,0.0015064516814043357,,,,,0.0015040357682081687,,,,,,,0.0016703905040469176,0.0015602926512198075
lass,0.0,,,,,0.0,,,,,,,0.0,0.0
minx,0.0,,,,,0.0,,,,,,,0.0,0.0
princess,0.004961998657815558,,,,,0.0049759574604538595,,,,,,,,0.004968978059134708
seductress,0.0,,,,,0.0,,,,,,,,0.0
waitress,0.006124815095080749,,,,,0.006100733680908448,,,,,,,,0.006112774387994599
lady,0.0008382454958487997,,,,,0.0008367129479358004,,,,,,,0.0007656666087986661,0.000813541684194422
dame,0.0,,,,,0.0,,,,,,,0.0,0.0
headmistress,0.0,,,,,0.0,,,,,,,,0.0
chambermaid,0.0,,,,,0.0,,,,,,,,0.0
