,context,n_concepts,mean_tfidf,mean_diff,evidence
0,wheel,50,0.04,0.03,-
1,drove,48,0.02,0.02,-
2,parked,47,0.04,0.03,-
3,driving,46,0.03,0.02,-
4,drives,45,0.02,0.02,-
5,drivers,44,0.08,0.08,-
6,road,44,0.02,0.02,-
7,bicycle,44,0.03,0.03,-
8,drive,42,0.03,0.03,-
9,driven,42,0.02,0.01,-
10,rolled,41,0.01,0.01,-
11,roads,41,0.01,0.01,-
12,streets,41,0.01,0.01,-
13,mini,40,0.01,0.01,-
14,past,40,0.01,0.01,-
15,model,39,0.02,0.02,-
16,bike,39,0.02,0.02,-
17,wheels,39,0.02,0.02,-
18,vehicle,38,0.03,0.02,-
19,back,38,0.02,0.01,-
20,wheel,50,0.04,0.03,-
21,wheels,39,0.02,0.02,-
