,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
mussel,0.006296602308368574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006813186903144256,0.0,0.0,0.0,0.0,0.008138502958914197,0.006828792979681352,0.0,0.0016515932441240222
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prawn,0.0031794210910302584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037090455883428733,0.0,0.0,0.0,0.0,0.00456326024563397,0.0037181956944885406,0.0,0.0008923483893820965
bass,0.0005069501617225344,0.0,0.0,0.0,0.0,0.0,0.0006436866959073171,0.0,0.0,0.0006471825939974342,0.0,0.0,0.0005164399624603373,0.0,0.0005951589510451113,0.0006472131272032952,0.0,0.00020921361719623705
lobster,0.009461900751245356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010686933751878257,0.0,0.0,0.0,0.0,0.013233462318351133,0.010710526532523612,0.0,0.0025936954914116683
chicken,0.022400915099554778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025093928562706237,0.0,0.024568210242429944,0.0,0.0,0.030530767972180673,0.025138723927148488,0.0,0.007513679164942361
shrimp,0.010925019964131715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012395303779626263,0.0,0.0,0.0,0.0,0.01605159415556624,0.012423787574176424,0.0,0.003046806204323567
beef,0.007745168852650089,0.0,0.0,0.0,0.0,0.014010638247128488,0.0,0.0,0.0,0.009162928152561312,0.0,0.0,0.0,0.0,0.010668523396073062,0.009182432329059308,0.0,0.002986452410439545
beetle,0.00029794296029675166,0.0002705299951133335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001775065497977899,0.0,0.0,0.0,0.0,0.0,0.000169937769711323,0.0,5.387748675995283e-05
drill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasshopper,0.004164006206314137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006257419153976569,0.0030862623923425497,0.0,0.0,0.0,0.0,0.0030212425862286793,0.00304244646768617,0.0,0.0011512574592087122
canary,0.0006079465033901316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043666841065906706,0.0,0.000774596536529833,0.0,0.0,0.0,0.0004176415480183493,0.0,0.00013157958815278713
sparrow,0.0014298299686641331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011687927029664215,0.0,0.002220592371359731,0.0,0.0,0.0,0.001133928367102351,0.0,0.0003501849064760375
knife,0.0,0.009252570947972523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008799603596090319,0.008249154967180372,0.0,0.0,0.0,0.0,0.008794611909723393,0.010313169284124138,0.002671124159122985
fork,0.0,0.003051574443612255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028966510344019016,0.0,0.0,0.0,0.0,0.0,0.00289756885536019,0.0032736220988811454,0.0007129068489562054
pounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.0,0.002031611188396216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001942532583153471,0.0018411969793008355,0.0,0.0,0.0,0.0016476891244689795,0.0019419950530033903,0.0,0.0005532367604895819
cleaver,0.0,0.0036512080977003547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035200049213128513,0.0,0.0,0.0,0.0,0.0,0.0035265494868760225,0.004255022760843888,0.0008795756039254775
pestle,0.0,0.0038941097624591832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00361398564966196,0.0,0.0,0.0,0.0,0.0,0.003615347328908596,0.0,0.0006543201612370436
spatula,0.0,0.027703354020985897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026563826844246057,0.0,0.0,0.0,0.0,0.0,0.026644444601456138,0.0,0.004759507380393417
