,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001330381024933126,0.0,0.0,0.0,0.0,0.0016277005917828395,0.00133364303090233,0.0,0.0002524543910363703
scallop,0.03358819891357992,0.0,0.0,0.0,0.0,0.0,0.0,0.02308106817155476,0.0,0.025519335390080704,0.0,0.0,0.0,0.0,0.02472839738730633,0.025566869991827147,0.0,0.007793168814961697
prawn,0.010177766008177038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007242490102636193,0.0,0.0,0.0,0.0,0.00912652049126794,0.007261525997698467,0.0,0.0019887236823399788
bass,0.0,0.0,0.0,0.0,0.0,0.0,0.0006436866959073171,0.0,0.0,0.0006318624859123108,0.0,0.0,0.0005164399624603373,0.0,0.0005951589510451113,0.000631994028206325,0.0,0.00017759659550184713
lobster,0.030288851046013674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020867905255402296,0.0,0.0,0.0,0.0,0.026466924636702267,0.02091734089742627,0.0,0.0057965306962085
chicken,0.1615599408069601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11039716237512148,0.0,0.1874397694923128,0.0,0.0,0.13757237616380208,0.11061203838017669,0.0,0.0416224286599043
shrimp,0.019429165395215702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013446535684013305,0.0,0.0,0.0,0.0,0.01783510461729582,0.01347960496501202,0.0,0.0037759065095021673
beef,0.1801945633103889,0.0,0.0,0.0,0.0,0.20365463452076052,0.0,0.0,0.0,0.13003683858012513,0.0,0.0,0.0,0.0,0.1550746079357763,0.13033461445528213,0.0,0.04701736816484312
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasshopper,0.0009417755898029428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015643547884941422,0.0007921368749893207,0.0,0.0,0.0,0.0,0.0006991489929899785,0.0007315992729391696,0.0,0.0002781773834832679
canary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
