,context,n_concepts,mean_tfidf,mean_diff,evidence
0,syrup,49,0.03,0.03,-
1,sweet,48,0.03,0.02,-
2,banana,47,0.04,0.04,-
3,jam,47,0.03,0.03,-
4,berry,46,0.01,0.01,-
5,peach,45,0.06,0.06,-
6,fruit,45,0.07,0.06,-
7,strawberry,44,0.06,0.05,-
8,so,44,0.01,0.0,-
9,dessert,43,0.02,0.02,-
10,pure,43,0.01,0.01,-
11,apple,43,0.05,0.05,-
12,cherry,43,0.04,0.04,-
13,sugar,42,0.05,0.04,-
14,chocolate,42,0.06,0.05,-
15,or,42,0.02,0.01,-
16,grape,42,0.02,0.02,-
17,caramel,42,0.01,0.01,-
18,sweetness,42,0.01,0.01,-
19,plum,42,0.03,0.03,-
20,sweet,48,0.03,0.02,-
