context,n_pos,total_pos,n_neg,total_neg
killed,45,65,1,65
shoot,42,65,1,65
killing,42,65,4,65
shooting,40,65,0,65
lethal,40,65,0,65
kill,39,65,3,65
armed,39,65,1,65
attack,39,65,2,65
apparently,39,65,4,65
soldier,38,65,0,65
death,38,65,6,65
authorities,38,65,7,65
reportedly,38,65,3,65
captured,38,65,3,65
hiding,38,65,4,65
target,38,65,0,65
charged,37,65,2,65
weapons,37,65,0,65
victims,37,65,4,65
dead,37,65,2,65
carried,37,65,4,65
man,37,65,6,65
alleged,37,65,1,65
sentence,37,65,1,65
and,36,65,18,65
victim,36,65,4,65
weapon,36,65,1,65
officers,36,65,2,65
machine,36,65,0,65
suspected,36,65,3,65
allegedly,36,65,3,65
officials,36,65,7,65
believe,36,65,10,65
responsible,36,65,2,65
attempted,36,65,4,65
violence,36,65,1,65
claimed,36,65,3,65
targets,36,65,1,65
battle,36,65,3,65
indicate,36,65,6,65
intent,36,65,2,65
ammunition,35,65,0,65
military,35,65,4,65
assault,35,65,0,65
combat,35,65,1,65
enemy,35,65,3,65
confronted,35,65,1,65
himself,35,65,5,65
executed,35,65,1,65
footage,35,65,6,65
destroyed,35,65,2,65
threatened,35,65,5,65
dangerous,35,65,2,65
was,35,65,12,65
firing,35,65,0,65
attacked,35,65,1,65
suicide,35,65,1,65
described,35,65,6,65
been,35,65,19,65
escape,35,65,5,65
during,35,65,6,65
say,35,65,15,65
suspect,35,65,1,65
person,35,65,9,65
multiple,35,65,1,65
violent,35,65,0,65
prison,35,65,3,65
abandoned,35,65,5,65
strike,35,65,6,65
fake,35,65,5,65
arms,35,65,4,65
highly,35,65,8,65
mounted,34,65,3,65
bearing,34,65,7,65
had,34,65,9,65
threats,34,65,0,65
involved,34,65,3,65
deadly,34,65,2,65
least,34,65,7,65
one,34,65,15,65
riding,34,65,2,65
reported,34,65,10,65
committed,34,65,3,65
confirmed,34,65,3,65
suspects,34,65,2,65
according,34,65,16,65
gang,34,65,2,65
statement,34,65,8,65
explosive,34,65,3,65
feared,34,65,2,65
possibility,34,65,8,65
terrorists,34,65,1,65
army,33,65,6,65
pointing,33,65,1,65
fear,33,65,4,65
pleaded,33,65,1,65
strikes,33,65,2,65
threatening,33,65,4,65
repeatedly,33,65,6,65
fire,33,65,2,65
newspaper,33,65,4,65
men,33,65,4,65
including,33,65,11,65
fled,33,65,1,65
witness,33,65,3,65
seriously,33,65,1,65
arrest,33,65,3,65
later,33,65,14,65
reports,33,65,10,65
fatal,33,65,4,65
pursued,33,65,3,65
sentenced,33,65,2,65
linked,33,65,3,65
explosives,33,65,2,65
random,33,65,2,65
revenge,33,65,4,65
severely,33,65,4,65
stolen,33,65,2,65
guilty,33,65,2,65
threat,33,65,4,65
destroy,33,65,2,65
gun,32,65,1,65
him,32,65,11,65
bullets,32,65,1,65
commander,32,65,0,65
confrontation,32,65,4,65
blast,32,65,0,65
involve,32,65,7,65
spreading,32,65,4,65
report,32,65,11,65
hundreds,32,65,12,65
boy,32,65,7,65
carrying,32,65,4,65
someone,32,65,9,65
believed,32,65,8,65
people,32,65,10,65
incident,32,65,3,65
apartment,32,65,8,65
radio,32,65,8,65
iraqi,32,65,2,65
hunt,32,65,1,65
trigger,32,65,2,65
terror,32,65,0,65
killer,32,65,4,65
blasted,32,65,4,65
declared,32,65,6,65
advanced,32,65,5,65
bombs,32,65,1,65
anti,32,65,2,65
were,31,65,12,65
fight,31,65,2,65
by,31,65,14,65
died,31,65,6,65
aimed,31,65,1,65
colonel,31,65,7,65
pictures,31,65,3,65
associated,31,65,9,65
another,31,65,9,65
hostage,31,65,2,65
police,31,65,2,65
slain,31,65,2,65
wednesday,31,65,12,65
identify,31,65,7,65
forces,31,65,4,65
nine,31,65,10,65
investigating,31,65,8,65
northern,31,65,9,65
initially,31,65,13,65
occurred,31,65,5,65
hide,31,65,4,65
investigator,31,65,5,65
mob,31,65,1,65
jail,31,65,4,65
showed,31,65,17,65
blamed,31,65,3,65
blow,31,65,3,65
punishment,31,65,5,65
traced,31,65,3,65
destruction,31,65,0,65
attacking,31,65,4,65
grown,31,65,13,65
afraid,31,65,4,65
crack,31,65,4,65
possession,31,65,0,65
rifle,30,65,1,65
with,30,65,14,65
at,30,65,15,65
have,30,65,19,65
activists,30,65,6,65
bomb,30,65,2,65
anniversary,30,65,3,65
deliberately,30,65,2,65
iraq,30,65,0,65
held,30,65,12,65
