context,n_pos,total_pos,n_neg,total_neg
codeine,3,3,0,3
overdose,3,3,0,3
drip,3,3,0,3
dose,3,3,1,3
lethal,3,3,0,3
marijuana,3,3,0,3
milligrams,3,3,0,3
morphine,3,3,0,3
injections,3,3,1,3
sedative,3,3,0,3
injected,3,3,0,3
drug,3,3,1,3
vials,3,3,0,3
injection,3,3,0,3
given,3,3,1,3
liquid,3,3,1,3
powerful,3,3,1,3
000,3,3,0,3
similar,3,3,0,3
oral,3,3,0,3
die,3,3,0,3
large,3,3,0,3
horse,3,3,1,3
times,3,3,0,3
instead,3,3,0,3
fatal,3,3,0,3
supply,3,3,0,3
amount,3,3,0,3
induce,3,3,0,3
commonly,3,3,0,3
syringe,3,3,0,3
animals,3,3,0,3
sufficient,3,3,0,3
injectable,3,3,0,3
coma,3,3,0,3
euthanasia,3,3,0,3
anxiety,3,3,0,3
anesthetic,3,3,0,3
toxicology,3,3,0,3
unauthorized,3,3,0,3
heroin,2,3,0,3
kg,2,3,0,3
kilograms,2,3,0,3
cocaine,2,3,0,3
doses,2,3,1,3
addicted,2,3,0,3
pain,2,3,2,3
painkillers,2,3,2,3
oxycodone,2,3,0,3
methadone,2,3,0,3
base,2,3,0,3
narcotics,2,3,0,3
drugs,2,3,4,3
oxycontin,2,3,0,3
addict,2,3,0,3
fentanyl,2,3,0,3
opiates,2,3,0,3
valium,2,3,0,3
overdoses,2,3,0,3
administered,2,3,1,3
opioids,2,3,0,3
patients,2,3,3,3
pump,2,3,0,3
opiate,2,3,0,3
of,2,3,0,3
and,2,3,4,3
grams,2,3,1,3
synthetic,2,3,1,3
traces,2,3,0,3
prescribed,2,3,2,3
pounds,2,3,1,3
patient,2,3,3,3
potassium,2,3,0,3
intravenous,2,3,0,3
prescribe,2,3,1,3
administering,2,3,0,3
narcotic,2,3,0,3
heroine,2,3,0,3
90,2,3,0,3
duke,2,3,0,3
amounts,2,3,0,3
cannabis,2,3,0,3
tested,2,3,0,3
addicts,2,3,1,3
nurse,2,3,1,3
opioid,2,3,0,3
potent,2,3,3,3
dosage,2,3,2,3
injecting,2,3,0,3
56,2,3,0,3
accidental,2,3,0,3
refined,2,3,0,3
amphetamine,2,3,0,3
hooked,2,3,0,3
ounces,2,3,1,3
effects,2,3,3,3
induced,2,3,1,3
based,2,3,2,3
medication,2,3,1,3
123,2,3,0,3
amphetamines,2,3,0,3
methamphetamine,2,3,0,3
positive,2,3,0,3
gave,2,3,0,3
80,2,3,1,3
alcohol,2,3,3,3
medications,2,3,5,3
prescribing,2,3,2,3
administer,2,3,0,3
than,2,3,4,3
sedatives,2,3,0,3
ecstasy,2,3,0,3
hasten,2,3,0,3
nurses,2,3,0,3
painkilling,2,3,0,3
15,2,3,1,3
syringes,2,3,0,3
seizures,2,3,0,3
medical,2,3,4,3
receiving,2,3,0,3
button,2,3,0,3
shot,2,3,1,3
500,2,3,1,3
iv,2,3,1,3
ingested,2,3,0,3
mice,2,3,1,3
patches,2,3,0,3
inject,2,3,0,3
doctor,2,3,5,3
anesthesia,2,3,0,3
130,2,3,0,3
on,2,3,8,3
old,2,3,3,3
17,2,3,0,3
oxygen,2,3,2,3
produce,2,3,5,3
nicotine,2,3,1,3
cocktail,2,3,1,3
levels,2,3,3,3
considered,2,3,2,3
200,2,3,0,3
rock,2,3,1,3
kilogram,2,3,0,3
she,2,3,3,3
kill,2,3,4,3
more,2,3,5,3
mighty,2,3,0,3
lsd,2,3,0,3
her,2,3,5,3
related,2,3,2,3
received,2,3,0,3
small,2,3,0,3
