,food,fish,plant,fruit,no-cat,vehicle,all,yellow,mammal,relation,bird,object,vegetable,measure,animal,mean
lemonade,0.0025259654144029944,0.0,0.0,0.0,0.0,0.0,0.002626046683041863,0.0,0.0,0.002722526809313247,0.0,0.0,0.0,0.0,0.0,0.0005249692604505402
mustard,0.0018320137860594133,0.0,0.0017340243660895732,0.0,0.0,0.0,0.0019447636966876548,0.0,0.0,0.0,0.0,0.0018984455025022743,0.002062385761356547,0.0,0.0,0.0006314422075130309
plum,0.0030962623192075695,0.0,0.0029250338467543754,0.0030202025645773415,0.0,0.0,0.003320231713079821,0.0,0.0,0.0,0.0,0.0032882473252477053,0.0,0.0,0.0,0.0010433318512577876
lemon,0.01019527965352502,0.0,0.009909774172645562,0.010687426648189178,0.0,0.0,0.0105264367923085,0.0,0.0,0.0,0.0,0.01050151331245204,0.0,0.0,0.0,0.003454695371941353
banana,0.004070111913952209,0.0,0.003988626065328582,0.004481650904689455,0.0,0.0,0.004888779810142641,0.0,0.0,0.0,0.0,0.004804040632464399,0.0,0.0,0.0,0.0014822139551051523
champagne,0.0006936662021878634,0.0,0.0,0.0,0.0,0.0,0.000796981437043183,0.0,0.0,0.0007481201732661995,0.0,0.0,0.0,0.0,0.0,0.00014925118749981638
cheese,0.006709819442395503,0.0,0.006304443093277865,0.0,0.0,0.0,0.00680887040901718,0.0,0.0,0.0,0.0,0.006666894332651894,0.0,0.0,0.0,0.0017660018184894961
apple,0.016941095545703944,0.0,0.016207694793431433,0.021067398534382727,0.0,0.0,0.020414894757103764,0.0,0.0,0.0,0.0,0.02037631671673822,0.0,0.0,0.0,0.006333826689824006
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.024931158110560233,0.0,0.02381782731587183,0.026671726997746937,0.0,0.0,0.026658384262900202,0.0,0.0,0.0,0.0,0.02638908671898537,0.0,0.0,0.0,0.008564545560404306
yolk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cider,0.129858780702368,0.0,0.0,0.0,0.0,0.0,0.1309001393681574,0.0,0.0,0.12613263822248738,0.0,0.0,0.0,0.0,0.0,0.025792770552867515
beer,0.0008170594146174528,0.0,0.0,0.0,0.0,0.0,0.0009434213854138537,0.0,0.0,0.0008583344946663638,0.0,0.0,0.0,0.0,0.0,0.00017458768631317803
butter,0.0058406833443155805,0.0,0.0,0.0,0.0,0.0,0.005737007534248561,0.0,0.0,0.0,0.0,0.00562850975256328,0.0,0.0,0.0,0.0011470800420751615
peach,0.009825892784860332,0.0,0.009406105701738204,0.011171000543009202,0.010142936592965566,0.0,0.010615857535148186,0.0,0.0,0.0,0.0,0.010432744898565558,0.0,0.0,0.0,0.004106302537085803
grapefruit,0.020434717108713658,0.0,0.01951297824148715,0.02204669924377786,0.0,0.0,0.021995750699047155,0.0,0.0,0.0,0.0,0.021962681156028237,0.0,0.0,0.0,0.00706352176327027
corn,0.0037876139301730584,0.0,0.0035657813005485726,0.003936442948557194,0.0,0.0,0.003971492969389636,0.0,0.0,0.0038625223592468672,0.0,0.0039011141707233506,0.0,0.0,0.0,0.0015349978452425784
herb,0.0004024395419671731,0.0,0.0004917608212469071,0.0,0.0,0.0,0.0005509251282545463,0.0,0.0,0.0,0.0,0.0005777392507719391,0.0,0.0,0.0,0.00013485764948270438
cream,0.002558993664289718,0.0,0.0,0.0,0.0,0.0,0.002752648723907206,0.0,0.0,0.0,0.0,0.00273434466730674,0.0,0.0,0.0,0.0005363991370335776
guava,0.00747765348158592,0.0,0.008097821295263145,0.007721823139660201,0.0,0.0,0.00812022126457277,0.0,0.0,0.0,0.0,0.00833417457317425,0.0,0.0,0.0,0.0026501129169504193
spinach,0.011020845861736848,0.0,0.012344198124524319,0.0,0.0,0.0,0.011908463353864966,0.0,0.0,0.0,0.0,0.012381405833736554,0.012121849215499353,0.0,0.0,0.003985117492624136
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0016045304327013219,0.0022440768666742938,0.0,0.0,0.0,0.0,0.0019590530459132156,0.0,0.0,0.0,0.0,0.0020044461393610943,0.0,0.0,0.002461315975969558,0.0006848948307079657
syrup,0.009836927696253802,0.0,0.0,0.0,0.0,0.0,0.010642444474731554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013652914780656901
berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.0034135434639597645,0.0,0.0,0.0,0.0,0.0,0.003735849048776999,0.0,0.0,0.0033259676242143807,0.0,0.0,0.0,0.0,0.0,0.0006983573424634097
allspice,0.005114699051433654,0.0,0.005319367495393806,0.0,0.0,0.0,0.004831520302395049,0.0,0.0,0.0,0.0,0.004940202998882276,0.0,0.0,0.0,0.0013470526565403191
cherry,0.00219460788140676,0.0,0.0025853894926881594,0.0022750821939020094,0.0,0.0,0.002503674258469773,0.0,0.0,0.002073132186081863,0.0,0.0026130549287355547,0.0,0.0,0.0,0.0009496627294189414
orange,0.0020854395995607918,0.0,0.002357428069947517,0.002152909742740882,0.0,0.0,0.0024245388778899525,0.0,0.0,0.002043582137403502,0.0,0.00252938229893145,0.0,0.0,0.0,0.000906218715098273
salad,0.00978963410954446,0.0,0.0,0.0,0.0,0.0,0.010457372548362483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013498004438604629
