,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chassis,55,0.04,0.04,-
1,wheel,54,0.04,0.04,-
2,wheeled,51,0.03,0.03,-
3,wheels,50,0.03,0.03,-
4,automobile,49,0.03,0.02,-
5,manufacturer,48,0.03,0.03,-
6,vehicles,48,0.02,0.02,-
7,vehicle,47,0.03,0.02,-
8,road,46,0.04,0.03,-
9,bicycle,46,0.04,0.04,-
10,driver,45,0.09,0.08,-
11,driving,45,0.03,0.02,-
12,produced,45,0.01,0.01,-
13,wagon,45,0.05,0.04,-
14,model,44,0.02,0.02,-
15,standard,44,0.01,0.01,-
16,manufacturing,44,0.01,0.01,-
17,introduced,44,0.01,0.01,-
18,car,43,0.06,0.04,-
19,level,43,0.01,0.01,-
20,wheel,54,0.04,0.04,-
21,wheels,50,0.03,0.03,-
