,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
wren,0.0029990354841667524,0.0,0.0,0.0,0.0,0.0,0.0029389284520307353,0.0038422005064312676,0.0,0.0,0.0,0.002942594746866488,0.001060229932457937
flycatcher,0.009911212053127425,0.0,0.0,0.0,0.0,0.0,0.008650820449438823,0.01595283509712754,0.0,0.0,0.0,0.008669367228167446,0.003598686235655103
stork,0.025264878463661246,0.0,0.0,0.0,0.0,0.0,0.02299652809810174,0.03519661236323666,0.0,0.0,0.0,0.023036300658365483,0.008874526631947094
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caracara,0.011046657567220841,0.0,0.0,0.0,0.0,0.0,0.019030373381101598,0.01622044247784611,0.0,0.0,0.0,0.01904497493681381,0.005445204030248531
pelican,0.005817498079104647,0.0,0.0,0.0,0.0,0.0,0.005483750273909027,0.008068477446988648,0.0,0.0,0.0,0.005491091392633495,0.002071734766052985
vulture,0.007913210159644747,0.0,0.0,0.0,0.0,0.0,0.00729421964348286,0.010306039323255686,0.0,0.0,0.0,0.007493287835262564,0.002750563080137155
avocet,0.05373644330488137,0.0,0.0,0.0,0.0,0.0,0.04653419123549527,0.0653318627427353,0.0,0.0,0.0,0.0465986213729498,0.01768342655467181
babbler,0.00822281357618666,0.0,0.0,0.0,0.0,0.0,0.008096047745132689,0.01258066072696955,0.0,0.0,0.0,0.008112790227374362,0.003084359356305272
kite,0.04621470576114292,0.0,0.0,0.0,0.0,0.0,0.04392441197414601,0.06306525265370524,0.042911065684676154,0.0,0.0,0.043981059247962466,0.020008041276802734
nightingale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tit,0.029521796083821803,0.0,0.0,0.0,0.0,0.0,0.026984229440735252,0.038203652407142984,0.0,0.0,0.0,0.027035328367002405,0.010145417191558537
gallinule,0.02973137105171359,0.0,0.0,0.0,0.0,0.0,0.028104104356744677,0.0,0.0,0.0,0.0,0.028123004439254022,0.0071632066539760245
towhee,0.05663974369023704,0.0,0.0,0.0,0.0,0.0,0.05853911582284186,0.05736385696666131,0.0,0.0,0.0,0.05856758737764804,0.019259191988115692
yellowhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
titmouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merganser,0.01683563967000273,0.0,0.0,0.0,0.0,0.0,0.01636152652858443,0.022322196310553058,0.0,0.0,0.0,0.016377614018510487,0.005991414710637559
hawk,0.03175532320755574,0.0,0.0,0.0,0.0,0.0,0.030621536181673303,0.037527070043947876,0.0,0.0,0.0,0.030656944603142083,0.010880072836359916
chinook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flicker,0.006371093749026994,0.0,0.0,0.0,0.0,0.0,0.006958925038998348,0.007360675448820394,0.0,0.0,0.0,0.006966143453618543,0.0023047364742053568
marabou,0.016142102284343356,0.0,0.0,0.0,0.015165107924442384,0.0,0.014463954312929348,0.0,0.0,0.0,0.0,0.01447648948164567,0.005020637833613397
pigeon,0.0055830603047121955,0.0,0.0,0.0,0.0,0.0,0.00551671097997134,0.007861182125407422,0.0,0.0,0.0,0.005523417010113128,0.002040364201683674
ouzel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toy,0.000679165484726938,0.0006415374959231336,0.0,0.0,0.0,0.0,0.0006747119743990443,0.0,0.0,0.0,0.0,0.0006757351071585986,0.00022259583851730953
seagull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.01087491416437632,0.0,0.0,0.0,0.0,0.0,0.012052046795334352,0.015658848507923828,0.0,0.0,0.0,0.01206642996312243,0.004221019952563077
grosbeak,0.020990682805330205,0.0,0.0,0.0,0.0,0.0,0.03490426829527851,0.028537822712280284,0.0,0.0,0.0,0.03506535102544385,0.00995817706986107
fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goldcrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0009331025021362965,0.0,0.0,0.0,0.0,0.0,0.0008514948648986105,0.0,0.0,0.0,0.0,0.0008529386985707565,0.00021979467213380528
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.005861115487664781,0.0,0.0,0.0,0.0,0.0,0.00505493391076209,0.007934630767658888,0.0,0.0,0.0,0.0050620712060812,0.0019927292810139135
moorcock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.017678290486941646,0.0,0.0,0.0,0.0,0.0,0.017012237701080943,0.02785250003891095,0.0,0.0,0.0,0.01704070221399977,0.006631977536744442
nuthatch,0.0038561176028569515,0.0,0.0,0.0,0.0,0.0,0.0033919892954238804,0.0,0.0,0.0,0.0,0.0033987176651267066,0.0008872353802839615
butterfly,0.0016874000164202349,0.0,0.0,0.0,0.0,0.0,0.0014617823751147895,0.0,0.0,0.0,0.0,0.0014653720250769919,0.0003845462013843347
loon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.03268077394803215,0.0,0.0,0.044053537100849534,0.0,0.0,0.03117963764825618,0.04565373531082371,0.0,0.0,0.03523878493548534,0.031291628921047955,0.01834150815537457
robin,0.0014023007611124296,0.0,0.0,0.0,0.0,0.0,0.0014409662368237623,0.0014228444675595652,0.0,0.0,0.0,0.001441896656741978,0.00047566734351981127
pheasant,0.006292009088789597,0.0,0.0,0.0,0.0,0.0,0.0057386611110964445,0.007808752517023248,0.0,0.0,0.0063742030601465684,0.0057450513295169035,0.002663223092214397
woodpecker,0.009948827073431343,0.0,0.0,0.0,0.0,0.0,0.00934307286070356,0.014552149910969097,0.0,0.0,0.0,0.009403777055437263,0.0036039855750451054
quail,0.008657681443412172,0.0,0.0,0.0,0.0,0.0,0.007708231950502494,0.010938601058872947,0.0,0.0,0.008976661414470049,0.007721558283622449,0.003666894512573343
puffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.0013381143309516446,0.0020626789384333693,0.0,0.0,0.0016868614989834843,0.0,0.0014018770526781125,0.0,0.0017396597568377652,0.0,0.0,0.0014103899601133384,0.0008032984614998094
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0013056096929758006,0.002024005019454832,0.0,0.0,0.0,0.0,0.001424059135574048,0.0,0.0,0.0,0.0,0.0014344814234742735,0.0005156796059565795
monkey,0.005461635411763169,0.008389586033961696,0.0,0.0,0.0,0.0,0.005534942037640444,0.0,0.0,0.0,0.0,0.005538025152337827,0.002077015719641928
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skimmer,0.007312077849754579,0.0,0.0,0.0,0.0,0.0,0.008025157890599235,0.006940691006556879,0.0,0.0,0.0,0.008113198932415602,0.0025325938066105246
lemur,0.0033472614833844365,0.005156539594348951,0.0,0.0,0.0,0.0,0.0031571083903773247,0.0,0.0,0.0,0.0,0.003245786717685972,0.0012422246821497237
hog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizardfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toadfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunfish,0.0012600646751105764,0.0,0.0,0.0,0.0,0.0036464719589079484,0.0011721779537479354,0.0,0.0,0.0,0.002034457851978267,0.0011789006403092406,0.0007743394233378307
mola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.00032946329277115075,0.0006017734318844674,0.0,0.0,0.0,0.0,0.00034998932114166793,0.0,0.0,0.0,0.0,0.00035681451959535606,0.00013650338044938684
silverback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damselfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0006710295610032496,0.001123306965091242,0.0,0.0,0.0,0.0013018771699774216,0.000768840824349476,0.0,0.0,0.0,0.0,0.0007791925079958881,0.00038702058570143984
