,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prawn,0.004296384706724622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004005120182553676,0.0,0.0,0.0,0.0,0.005787917002652441,0.004013029880694707,0.0,0.0010648501042720849
bass,0.0006850470131310901,0.0,0.0,0.0,0.0,0.0,0.0006436866959073171,0.0,0.0,0.0006988439498190795,0.0,0.0,0.0,0.0,0.0007548836635672129,0.0006985338675139205,0.0,0.0002047644229375659
lobster,0.007306265515511354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006594296185949159,0.0,0.0,0.0,0.0,0.009591410831402655,0.006605609900937733,0.0,0.0017704460255177
chicken,0.006564706044499573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005876469024725762,0.0,0.006860828793557333,0.0,0.0,0.00839806436121481,0.0058840694642223555,0.0,0.001975537511071755
shrimp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,0.0014951610037888517,0.0,0.0,0.0,0.0,0.0014240977865924702,0.0,0.0,0.0,0.0014134798523931552,0.0,0.0,0.0,0.0,0.0019330955949878256,0.0014157932787743454,0.0,0.0004518604421492146
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.0015897113588496676,0.001760172418766639,0.0,0.0,0.0,0.001767884375486678,0.0,0.0,0.0,0.0014389674911693593,0.0,0.0,0.0,0.0,0.0,0.0013524093261395957,0.0,0.0004652438217889375
